date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2
2019/5/1,58,14,2912,909,1740,1531,1645,409,1630
2019/5/2,12,0,1000,68,0,1030,64,0,1361
2019/5/3,22,40,114,59,213,617,64,229,538
2019/5/4,682,0,444,1638,0,1985,4431,0,3574
2019/5/5,27,0,25964,16,0,12189,29,0,9479
2019/5/6,5,0,1195,2,0,1874,41,0,2021
2019/5/7,71,0,67,52,0,193,105,0,469
2019/5/8,13,21,604,130,178,2103,209,376,3765
2019/5/9,2065,0,64,2647,0,77,4533,0,1029
2019/5/10,447,0,9684,507,0,5185,3882,0,3240
2019/5/11,155,0,157,149,0,935,272,0,2533
2019/5/12,75,0,1346,591,0,2719,1288,0,2119
2019/5/13,128,81,333,218,837,637,155,1081,517
2019/5/14,0,0,3622,0,0,6228,0,0,5848
2019/5/15,31,0,21355,379,0,23430,694,0,9432
2019/5/16,3830,0,1547,4384,0,1845,2217,0,5513
2019/5/17,0,0,262,0,0,482,0,0,1525
2019/5/18,1650,0,147,743,0,320,1488,0,1471
2019/5/19,0,0,0,0,0,0,0,0,0
2019/5/20,2362,0,3562,5042,0,7865,7308,0,17043
2019/5/21,1956,0,20985,807,0,16942,8223,0,100508
2019/5/22,0,0,10988,0,0,14895,0,0,68005
2019/5/23,0,0,59209,0,0,72063,0,0,34663
2019/5/24,0,0,124,0,0,129,0,0,919
2019/5/25,0,0,505,0,0,3417,0,0,2913
2019/5/26,0,0,3959,0,0,5666,0,0,37091
2019/5/27,2443,0,0,1009,0,0,3489,0,0
2019/5/28,0,0,0,0,0,0,0,0,0
2019/5/29,0,0,2860,0,0,4027,0,0,89814
2019/5/30,99,0,824,375,0,1213,42728,0,7908
2019/5/31,0,0,142,0,0,284,0,0,939
2019/6/1,0,0,1792,0,0,1452,0,0,17733
2019/6/2,4863,0,2174,1926,0,1878,26237,0,22373
2019/6/3,124,0,84,846,0,38,2975,0,384
2019/6/4,957,80,2432,2185,441,1814,90162,1901,9592
2019/6/5,0,0,0,0,0,0,0,0,0
2019/6/6,20,0,1929,124,0,1845,204,0,948
2019/6/7,176,0,4411,726,0,6730,2912,0,4003
2019/6/8,116,0,120,690,0,589,1558,0,2067
2019/6/9,12,0,494,469,0,616,1216,0,4726
2019/6/10,0,0,2846,0,0,3277,0,0,34197
2019/6/11,0,0,630,0,0,661,0,0,15559
2019/6/12,0,0,1322,0,0,1101,0,0,5642
2019/6/13,41,0,0,111,0,0,946,0,0
2019/6/14,98,0,356,780,0,666,2871,0,2928
2019/6/15,57,0,75,255,0,55,1720,0,927
2019/6/16,280,0,278,1320,0,2964,7355,0,16774
2019/6/17,111,0,9509,674,0,10877,1695,0,10709
2019/6/18,0,0,363,0,0,681,0,0,9535
2019/6/19,0,0,693,0,0,577,0,0,12025
2019/6/20,426,0,7187,617,0,1483,7219,0,25885
2019/6/21,0,0,9651,0,0,2324,0,0,65180
2019/6/22,352,0,1624,1675,0,1098,8063,0,8850
2019/6/23,1741,0,1306,3017,0,2229,32805,0,25189
2019/6/24,197,0,208,345,0,1169,1421,0,2528
2019/6/25,192,0,1773,61,0,4279,823,0,26496
2019/6/26,0,0,208,0,0,619,0,0,2588
2019/6/27,17,0,298,110,0,876,549,0,5197
2019/6/28,0,0,1858,0,0,3114,0,0,31895
2019/6/29,0,0,140,0,0,130,0,0,1779
2019/6/30,67,205,378,465,119,726,2710,3506,4719
2019/7/1,0,0,880,0,0,187,0,0,1733
2019/7/2,348,0,1314,1662,0,1992,5414,0,13172
2019/7/3,474,0,45,1330,0,71,7027,0,376
2019/7/4,61,0,316,289,0,1381,833,0,4388
2019/7/5,10,0,131,111,0,275,526,0,1993
2019/7/6,276,0,663,1054,0,920,4805,0,4939
2019/7/7,33,0,323,170,0,1085,10447,0,4432
2019/7/8,147591,0,24,146046,0,44,120568,0,178
2019/7/9,2347,110,1443,2550,77,1245,31114,1172,8068
2019/7/10,620,0,890,266,0,7899,6503,0,12288
2019/7/11,329,112,890,381,57,2421,1733,358,9849
2019/7/12,30,13,1722,22,15,2359,273,1024,7192
2019/7/13,872,0,109,1735,0,361,15193,0,365
2019/7/14,713,0,209,1014,0,302,12692,0,15015
2019/7/15,103,0,2137,299,0,2510,2583,0,5227
2019/7/16,35,0,481,128,0,1164,745,0,6584
2019/7/17,0,0,4111,0,0,8000,0,0,204464
2019/7/18,781,0,194,467,0,816,4578,0,3735
2019/7/19,839,0,2546,1058,0,5948,3147,0,66588
2019/7/20,190,0,169,1219,0,850,6917,0,2900
2019/7/21,63,149,183,263,261,422,1345,1013,1293
2019/7/22,117,0,2388,881,0,3469,11540,0,26239
2019/7/23,0,0,6061,0,0,3805,0,0,18387
2019/7/24,13,73,804,42,744,1087,153,31800,12053
2019/7/25,105,0,89,293,0,236,1205,0,12016
2019/7/26,4942,2427,3533,3277,7794,5572,323806,135537,44095
2019/7/27,205,40,2045,1310,238,3865,4278,839,10720
2019/7/28,123,32,1501,1343,105,2060,8888,1232,6549
2019/7/29,310,0,388,837,0,1039,35986,0,4346
2019/7/30,153,0,169,657,0,421,3122,0,2248
2019/7/31,1099,66,1485,1335,124,1868,4182,1254,5936
2019/8/1,214,39,9469,922,72,2705,4207,250,4411
2019/8/2,378,0,157,1217,0,1209,8127,0,18912
2019/8/3,7,9,412,78,116,1130,316,226,11037
2019/8/4,49,15,222,354,84,369,1475,308,1710
2019/8/5,170,0,288,633,0,594,1669,0,2609
2019/8/6,9,0,270,26,0,1147,3259,0,4575
2019/8/7,402,0,257,280,0,801,287,0,2422
2019/8/8,49,0,29,508,0,34,15132,0,105
2019/8/9,56,0,3674,232,0,8526,6776,0,198997
2019/8/10,377,0,865,533,0,2231,8291,0,14719
2019/8/11,585,0,1570,1211,0,373,14132,0,3521
2019/8/12,3067,0,147,1094,0,980,10393,0,12918
2019/8/13,2354,0,94,4766,0,663,31974,0,11985
2019/8/14,29,1723,13131,318,1455,5222,763,17914,29859
2019/8/15,23,0,279,30,0,1277,116,0,75189
2019/8/16,182,0,1346,722,0,4108,14848,0,11932
2019/8/17,2223,0,21,4913,0,38,51234,0,1474
2019/8/18,353,30,556,482,68,547,4183,13528,14221
2019/8/19,935,0,523,1038,0,2390,11364,0,57329
2019/8/20,2201,0,2517,2405,0,3848,31100,0,61018
2019/8/21,174,0,455,343,0,311,32668,0,32967
2019/8/22,847,0,223,910,0,193,12863,0,1438
2019/8/23,0,0,127,0,0,178,0,0,731
2019/8/24,182,0,281,538,0,878,3383,0,3845
