date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2
2019/5/5,238,0,1503,806,0,1163,697,0,5419
2019/5/6,88,0,540,73,0,1152,207,0,2196
2019/5/7,0,0,175,0,0,503,0,0,576
2019/5/8,401,0,382,573,0,406,457,0,813
2019/5/9,1849,0,137,1523,0,198,1313,0,346
2019/5/10,1274,0,4547,5656,0,3657,10572,0,4545
2019/5/11,0,0,196,0,0,50,0,0,94
2019/5/12,26,0,12,66,0,14,92,0,33
2019/5/13,41,0,0,159,0,0,105,0,0
2019/5/14,0,0,688,0,0,1133,0,0,5233
2019/5/15,0,28,13397,0,8,14151,0,63,6632
2019/5/16,380,133,1566,359,395,2666,2253,894,5505
2019/5/17,107,0,11722,83,0,11778,533,0,60891
2019/5/18,2644,272,7178,2090,533,6850,10933,460,39523
2019/5/19,765,36,2572,885,160,1231,2636,136,12699
2019/5/20,4993,0,4662,4829,0,10758,31403,0,23977
2019/5/21,969,0,33062,1041,0,4806,2438,0,66093
2019/5/22,2478,0,13685,2350,0,17189,7696,0,78185
2019/5/23,1831,0,70086,3868,0,82302,3026,0,97317
2019/5/24,9010,0,20383,7600,0,5691,58517,0,31868
2019/5/25,12951,0,8727,5701,0,10204,65608,0,51660
2019/5/26,4414,0,1130,13799,0,2658,19443,0,7633
2019/5/27,0,0,5294,0,0,3444,0,0,12084
2019/5/28,3071,0,12369,8017,0,15720,9294,0,47167
2019/5/29,1811,0,4352,3024,0,4800,5819,0,34008
2019/5/30,4154,0,3371,2187,0,3604,13981,0,37785
2019/5/31,0,0,6592,0,0,1655,0,0,136242
2019/6/1,829,0,991,1181,0,1076,13768,0,10938
2019/6/2,524,265,14191,902,403,4388,8841,2574,41389
2019/6/3,0,0,4734,0,0,5769,0,0,21226
2019/6/4,541,0,1738,203,0,1077,4347,0,6379
2019/6/5,31,0,18154,31,0,24685,220,0,765502
2019/6/6,378,0,20524,303,0,11307,2954,0,180717
2019/6/7,67,0,1071,489,0,668,1281,0,8309
2019/6/8,540,0,410,1052,0,901,5376,0,8517
2019/6/9,344,0,2112,754,0,3664,3247,0,44340
2019/6/10,0,0,2050,0,0,2315,0,0,20660
2019/6/11,741,0,2376,1970,0,3240,9644,0,35780
2019/6/12,631,0,189,538,0,326,3755,0,3701
2019/6/13,276,2709,678,397,429,853,1452,6453,8758
2019/6/14,1833,0,4353,788,0,1732,9963,0,9266
2019/6/15,447,0,1918,1160,0,3058,7322,0,18113
2019/6/16,1439,98,385,1381,74,514,14579,824,5858
2019/6/17,0,0,4022,0,0,6876,0,0,61427
2019/6/18,0,50,1298,0,198,2319,0,17227,25682
2019/6/19,341,0,655,840,0,1240,8024,0,8914
2019/6/20,2796,0,5566,2795,0,1227,24446,0,24292
2019/6/21,0,436,5548,0,1107,8222,0,22296,2906
2019/6/22,104,0,2974,170,0,2326,1654,0,36281
2019/6/23,233,0,1419,385,0,2742,2870,0,18337
2019/6/24,340,221,579,592,148,440,3335,1427,3992
2019/6/25,192,0,2239,61,0,4803,823,0,29831
2019/6/26,0,0,622,0,0,870,0,0,11144
2019/6/27,29,0,698,138,0,1508,1050,0,9146
2019/6/28,270,0,3656,178,0,2503,2965,0,56518
2019/6/29,27,0,3600,133,0,7670,1439,0,63665
2019/6/30,98,0,293,129,0,421,448,0,1380
2019/7/1,119,0,261,80,0,340,391,0,1444
2019/7/2,0,0,832,0,0,860,0,0,4338
2019/7/3,0,0,2863,0,0,2083,0,0,6471
2019/7/4,237,0,91,569,0,183,2031,0,767
2019/7/5,109,0,518,120,0,183,1066,0,675
2019/7/6,432,0,623,469,0,1062,2833,0,8653
2019/7/7,1912,95,58,1552,124,132,9260,593,1210
2019/7/8,301,0,0,390,0,0,4823,0,0
2019/7/9,37,372,1341,49,206,2011,112,1103,10607
2019/7/10,1070,0,2833,1650,0,4383,11925,0,61496
2019/7/11,0,0,1138,0,0,673,0,0,2329
2019/7/12,51,0,0,197,0,0,850,0,0
2019/7/13,79,0,1580,360,0,2750,1882,0,10992
2019/7/14,577,0,475,1694,0,1096,25021,0,17523
2019/7/15,12039,0,1630,2540,0,731,15674,0,6577
2019/7/16,10452,0,662,1538,0,729,5445,0,2645
2019/7/17,0,0,1816,0,0,4626,0,0,140706
2019/7/18,82,31,2825,106,30,1443,463,147,7102
2019/7/19,839,0,1277,1058,0,2129,3147,0,7469
2019/7/20,33,0,161,51,0,123,290,0,564
2019/7/21,319,0,75,521,0,187,3196,0,782
2019/7/22,82,0,1091,35,0,1590,98,0,6614
2019/7/23,0,0,3715,0,0,3731,0,0,59128
2019/7/24,13,0,2869,42,0,4414,153,0,30600
2019/7/25,3921,0,244,3243,0,316,47414,0,2392
2019/7/26,6452,0,292,3159,0,707,38803,0,4248
2019/7/27,437,0,140,459,0,633,2243,0,2405
2019/7/28,71,0,230,88,0,115,203,0,309
2019/7/29,33,0,95,297,0,108,4985,0,1037
2019/7/30,45,0,28,240,0,28,1723,0,163
2019/7/31,9,0,326,59,0,305,1522,0,1885
2019/8/1,124,39,24,235,72,57,771,250,338
2019/8/2,209,0,574,421,0,485,2749,0,16916
2019/8/3,0,0,18,0,0,47,0,0,56
2019/8/4,69,0,94,244,0,124,1096,0,735
2019/8/5,170,0,295,291,0,697,931,0,7409
2019/8/6,302,0,2192,365,0,1623,1769,0,15479
2019/8/7,494,0,517,657,0,1128,5781,0,3773
2019/8/8,197,0,3652,368,0,8229,2064,0,86351
2019/8/9,0,0,62860,0,0,29626,0,0,631973
2019/8/10,0,0,2918,0,0,2325,0,0,19005
2019/8/11,657,0,415,685,0,160,5984,0,949
2019/8/12,3283,62,368,1272,114,483,11854,570,5557
2019/8/13,2300,0,57,5589,0,139,30811,0,613
2019/8/14,58,0,896,337,0,2028,815,0,31493
2019/8/15,85,0,151,63,0,494,389,0,64790
2019/8/16,0,0,275,0,0,1028,0,0,8516
2019/8/17,14,0,457,38,0,932,229,0,6586
2019/8/18,152,0,222,232,0,188,6151,0,966
2019/8/19,199,0,5186,356,0,1413,7754,0,13328
2019/8/20,146,0,286,213,0,238,2809,0,1594
2019/8/21,3420,0,1969,2800,0,426,32007,0,7673
2019/8/22,0,0,2026,0,0,2212,0,0,7765
2019/8/23,0,0,159,0,0,196,0,0,950
2019/8/24,108,0,7431,623,0,1182,1811,0,12908
2019/8/25,0,0,1461,0,0,366,0,0,2833
2019/8/26,183,0,417,468,0,2235,37715,0,22174
2019/8/27,39,0,272,54,0,331,531,0,1793
2019/8/28,0,0,432,0,0,1014,0,0,4220
2019/8/29,206,0,724,169,0,1797,14919,0,69863
2019/8/30,0,0,216,0,0,600,0,0,2340
2019/8/31,0,0,750,0,0,1580,0,0,5716
2019/9/1,0,0,444,0,0,681,0,0,3573
2019/9/2,19,0,74,101,0,189,1362,0,745
2019/9/3,54,0,1408,91,0,1865,466,0,11823
2019/9/4,263,25,999,332,162,559,1494,1104,4195
2019/9/5,266,0,321,1191,0,861,7041,0,5827
2019/9/6,0,0,40,0,0,0,0,0,126
2019/9/7,30,0,111,640,0,301,2773,0,1458
2019/9/8,0,0,312,0,0,281,0,0,1790
2019/9/9,106,0,1050,216,0,2293,617,0,17706
2019/9/10,465,77,361,681,177,334,4568,1808,4523
2019/9/11,538,15,1793,1349,59,13077,122333,5562,764140
2019/9/12,0,39,383,0,133,644,0,1975,2080
2019/9/13,0,0,1003,0,0,1712,0,0,5465
2019/9/14,0,0,131,0,0,1284,0,0,4330
2019/9/15,573,0,2630,1661,0,641,10516,0,5193
2019/9/16,1547,0,2029,1854,0,4520,26234,0,74575
2019/9/17,0,0,114,0,0,70,0,0,482
2019/9/18,0,77,114,0,316,134,0,1516,625
2019/9/19,0,0,2393,0,0,13995,0,0,634048
2019/9/20,0,0,375,0,0,752,0,0,19183
2019/9/21,19,0,694,21,0,1060,75,0,5566
2019/9/22,200,0,73,639,0,149,6017,0,623
2019/9/23,0,0,0,0,0,0,0,0,0
2019/9/24,0,0,1144,0,0,3653,0,0,56606
2019/9/25,201,0,97,895,0,148,7730,0,651
2019/9/26,0,0,60,0,0,69,0,0,1243
2019/9/27,108,0,408,1372,0,489,9520,0,5871
2019/9/28,110,0,589,184,0,803,12752,0,3675
2019/9/29,0,0,0,0,0,0,0,0,0
2019/9/30,667,0,205,565,0,211,2617,0,995
2019/10/1,178,0,158,75,0,525,397,0,1541
2019/10/2,0,0,78,0,0,198,0,0,957
2019/10/3,267,0,337,638,0,1548,3993,0,14359
2019/10/4,0,0,308,0,0,403,0,0,1989
2019/10/5,1135,0,777,368,0,1182,2379,0,71188
2019/10/6,19,0,86,49,0,85,260,0,458
2019/10/7,177,0,173,1110,0,39,7926,0,293
2019/10/8,33,0,1209,212,0,655,855,0,1566
2019/10/9,7,0,102,49,0,121,176,0,685
2019/10/10,156,0,580,261,0,371,1249,0,2595
2019/10/11,0,0,1391,0,0,944,0,0,5649
2019/10/12,0,0,802,0,0,279,0,0,7427
2019/10/13,0,0,61,0,0,143,0,0,768
2019/10/14,0,0,196,0,0,421,0,0,1739
2019/10/15,435,0,1388,312,0,1053,4219,0,16826
2019/10/16,0,144,91,0,409,89,0,3016,1218
2019/10/17,86,0,228,61,0,429,642,0,2320
2019/10/18,229,0,118,532,0,5,1876,0,142
2019/10/19,84,0,211,116,0,150,1197,0,557
2019/10/20,0,0,4355,0,0,1144,0,0,7552
2019/10/21,114,0,523,508,0,1308,10186,0,12948
2019/10/22,0,0,243,0,0,147,0,0,720
2019/10/23,0,0,0,0,0,0,0,0,0
2019/10/24,0,0,222,0,0,566,0,0,1909
2019/10/25,13,0,712,42,0,286,169,0,493
2019/10/26,268,22,1369,818,204,235,3666,5789,2071
2019/10/27,97,0,2037,136,0,1461,1586,0,13381
2019/10/28,49,0,351,71,0,377,481,0,2815
2019/10/29,127,110,1024,230,145,2064,819,564,9711
2019/10/30,29,21,831,95,73,1307,8008,352,15542
2019/10/31,0,0,4625,0,0,4918,0,0,7525
2019/11/1,28,0,158,418,0,665,7501,0,2673
2019/11/2,258,0,883,987,0,1262,4914,0,6133
2019/11/3,0,24,2796,0,24,2868,0,169,13399
2019/11/4,100,0,284,1151,0,391,5385,0,2032
2019/11/5,23,0,72,271,0,273,748,0,972
2019/11/6,227,0,75,595,0,411,4639,0,782
2019/11/7,2419,0,1608,886,0,1083,11055,0,9774
2019/11/8,206,0,42,216,0,103,256,0,610
2019/11/9,227,0,252,145,0,1057,718,0,6012
2019/11/10,343,0,31,1279,0,90,4994,0,346
2019/11/11,2626,0,0,2635,0,0,61838,0,0
2019/11/12,0,0,252,0,0,516,0,0,1277
2019/11/13,0,0,535,0,0,438,0,0,2028
2019/11/14,0,0,232,0,0,228,0,0,1338
2019/11/15,355,61,663,1408,322,920,7083,1916,2234
2019/11/16,213,0,250,24,0,298,1040,0,2200
2019/11/17,179,0,191,572,0,470,1261,0,5258
2019/11/18,509,0,1776,953,0,1000,4535,0,5525
2019/11/19,74,0,5702,157,0,3215,1381,0,17898
2019/11/20,0,0,214,0,0,201,0,0,899
2019/11/21,0,0,1596,0,0,1008,0,0,4615
2019/11/22,262,0,1296,13,0,1714,256,0,13783
2019/11/23,2312,0,1154,2319,0,574,4903,0,2969
2019/11/24,435,0,84,885,0,300,7104,0,48230
2019/11/25,646,0,0,1287,0,0,7711,0,0
2019/11/26,356,0,576,449,0,5668,4662,0,68173
2019/11/27,449,0,211,406,0,201,2473,0,1306
2019/11/28,0,0,151,0,0,658,0,0,11029
2019/11/29,378,0,225,339,0,3359,2566,0,29871
2019/11/30,584,102,1146,2720,471,2326,17729,1093,24027
