date,trans0,trans2,comm0,comm2,zan0,zan2,r
2019-04-05,0,829,0,818,0,1981,1.0
2019-04-06,46,0,52,0,287,0,0.0
2019-04-07,0,106,0,257,0,863,1.0
2019-04-08,25,128,17,69,128,178,0.6880733944954128
2019-04-09,514,859,1757,1158,4801,6036,0.5324297520661158
2019-04-10,78,251,646,862,732,1268,0.6205368777690904
2019-04-11,0,555,0,501,0,5111,1.0
2019-04-12,52,296,153,386,1057,542,0.4923572003218021
2019-04-13,0,0,0,0,0,0,0
2019-04-14,0,11,0,23,0,171,1.0
2019-04-15,316,299,1068,733,1375,1872,0.5128024015539466
2019-04-16,0,525,0,397,0,1250,1.0
2019-04-17,0,1338,0,2148,0,4855,1.0
2019-04-18,409,803,175,612,1358,1014,0.555708075955159
2019-04-19,103,464,93,471,265,855,0.7952021323856064
2019-04-20,0,218,0,87,0,104,1.0
2019-04-21,0,338,0,298,0,2178,1.0
2019-04-22,0,3132,0,3203,0,1991,1.0
2019-04-23,22,310,17,143,85,510,0.8859245630174793
2019-04-24,69,3993,93,5057,172,7173,0.9798272633931268
2019-04-25,0,190,0,259,0,428,1.0
2019-04-26,0,81,0,114,0,263,1.0
2019-04-28,16,152,458,225,283,672,0.5808416389811739
2019-04-29,151,94,19,384,80,251,0.7446373850868233
2019-04-30,0,202,0,348,0,639,1.0
2019-05-01,32,92,27,166,20,248,0.864957264957265
2019-05-02,634,310,963,171,4742,447,0.127700564194303
2019-05-03,125,160,256,487,1199,881,0.49163449163449163
2019-05-04,0,339,0,333,0,186,1.0
2019-05-05,210,308,392,1405,314,1604,0.7836050082683675
2019-05-06,198,235,89,777,319,873,0.7567242071457246
2019-05-07,0,3393,0,3709,0,1670,1.0
2019-05-08,33,2752,25,2674,79,1817,0.9814363143631436
2019-05-09,64,2638,354,1976,2119,1307,0.7000472925041381
2019-05-10,70,4136,206,3474,191,1757,0.9525116941224324
2019-05-11,192,174,289,55,515,190,0.296113074204947
2019-05-12,28,233,486,55,81,51,0.36295503211991437
2019-05-13,41,0,159,0,105,0,0.0
2019-05-14,0,588,0,1014,0,1057,1.0
2019-05-15,0,13111,0,13522,0,6030,1.0
2019-05-16,585,3367,1387,5893,1997,21845,0.8868392541483721
2019-05-17,107,6798,83,6905,533,44676,0.9877669114412372
2019-05-18,0,312,0,421,0,1846,1.0
2019-05-19,997,92,970,29,3130,328,0.08095924990984493
2019-05-20,1046,0,1832,0,3013,0,0.0
2019-05-21,8014,30670,3024,5444,27561,76798,0.745239619565576
2019-05-22,0,1708,0,2301,0,11878,1.0
2019-05-23,0,3825,0,8982,0,23171,1.0
2019-05-24,318,0,435,0,603,0,0.0
2019-05-25,10238,4374,3141,2070,53164,11682,0.21408071431102293
2019-05-26,1656,932,1618,1931,11916,5128,0.3447219705793538
2019-05-27,0,5723,0,1330,0,6650,1.0
2019-05-28,0,75760,0,10673,0,182542,1.0
2019-05-29,0,0,0,0,0,0,0
2019-05-30,330,1917,297,1274,7324,17159,0.7190558637503975
2019-05-31,258,18552,172,7840,689,256304,0.9960572908408647
2019-06-01,0,1070,0,1384,0,16518,1.0
2019-06-02,0,9727,0,3934,0,29005,1.0
2019-06-03,96,1547,45,736,215,5482,0.9561630341090999
2019-06-04,936,3000,767,2047,73598,12111,0.18557414637839476
2019-06-05,126,2105,188,436,1316,4508,0.8121903445097362
2019-06-06,44,7337,359,8668,7097,114026,0.9454668402032996
2019-06-07,117,5253,54,2315,1041,37624,0.973881561934316
2019-06-08,144,1576,361,1719,1741,23781,0.9234022235863857
2019-06-09,59,2016,108,3539,638,44032,0.984025242101921
2019-06-10,0,7058,0,5368,0,67501,1.0
2019-06-11,61,10076,47,7612,374,163271,0.9973434890680717
2019-06-12,53,1737,42,1374,412,11313,0.9660438014868394
2019-06-13,320,45,304,45,3290,433,0.11787243633085417
2019-06-14,0,501,0,572,0,3443,1.0
2019-06-15,106,1831,232,2616,1364,31135,0.9543503915888853
2019-06-16,98,764,74,642,824,8102,0.9051789794364051
2019-06-17,0,638,0,714,0,7102,1.0
2019-06-18,0,429,0,1030,0,4068,1.0
2019-06-19,0,72,0,96,0,337,1.0
2019-06-20,0,0,0,0,0,0,0
2019-06-21,0,0,0,0,0,0,0
2019-06-22,0,41,0,34,0,491,1.0
2019-06-23,0,0,0,0,0,0,0
2019-06-24,252,0,172,0,1636,0,0.0
2019-06-25,0,2073,0,4704,0,29220,1.0
2019-06-26,722,1503,473,2693,3534,19678,0.8346676922001188
2019-06-27,10338,569,2446,470,35031,4740,0.1078292346158152
2019-06-28,270,4041,178,3020,2965,58565,0.9505641738727386
2019-06-29,146,232,93,424,682,3045,0.8007356122890523
2019-06-30,124,580,155,389,777,3404,0.8054890403389207
2019-07-01,37,1699,22,487,347,3070,0.9282938890851289
2019-07-02,0,413,0,271,0,1563,1.0
2019-07-03,438,296,912,360,5255,2161,0.29898110804500105
2019-07-04,100,50,170,14,911,104,0.1245366938472943
2019-07-05,0,505,0,159,0,756,1.0
2019-07-06,81,476,62,698,202,6462,0.9567723342939481
2019-07-07,28,359,19,359,162,2584,0.9404727997721447
2019-07-08,97,0,177,0,1675,0,0.0
2019-07-09,318,1152,708,867,4423,4509,0.5450446689488185
2019-07-10,0,996,0,1347,0,10195,1.0
2019-07-11,0,79,0,165,0,4044,1.0
2019-07-12,0,0,0,0,0,0,0
2019-07-13,126,1062,638,1795,3594,7213,0.6979484336013307
2019-07-14,587,143,1816,779,25333,3147,0.1279358591416444
2019-07-15,46,411,94,275,1216,513,0.46927592954990216
2019-07-16,0,192,0,179,0,963,1.0
2019-07-17,0,1670,0,4817,0,142789,1.0
2019-07-18,41,2464,139,1243,356,6609,0.9506081828234427
