date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2
2019/5/1,65,0,3190,718,0,1614,559,0,3121
2019/5/2,648,0,530,1097,0,396,5132,0,386
2019/5/3,87,117,1721,136,253,868,1119,479,6748
2019/5/4,0,0,248,0,0,70,0,0,972
2019/5/5,27,0,1288,16,0,575,29,0,4713
2019/5/6,110,0,15252,16,0,7370,112,0,15237
2019/5/7,71,0,2808,52,0,3765,105,0,8096
2019/5/8,0,0,5814,0,0,2792,0,0,5260
2019/5/9,1138,0,589,984,0,782,7537,0,3059
2019/5/10,111,0,562,74,0,1138,64,0,4525
2019/5/11,0,0,391,0,0,601,0,0,1134
2019/5/12,0,0,19,0,0,9,0,0,110
2019/5/13,87,0,4982,59,0,3667,50,0,34460
2019/5/14,0,0,5716,0,0,6500,0,0,6478
2019/5/15,0,28,601,0,8,540,0,63,1148
2019/5/16,470,133,4264,547,395,3846,2696,894,11637
2019/5/17,107,0,665,83,0,954,533,0,5944
2019/5/18,0,0,356,0,0,456,0,0,2013
2019/5/19,117,0,782,211,0,239,132,0,1811
2019/5/20,2022,0,318,2643,0,1002,8086,0,1255
2019/5/21,8453,2700,6569,4503,1601,4312,31097,10409,17998
2019/5/22,0,0,7628,0,0,8069,0,0,48246
2019/5/23,1831,0,23173,3868,0,24898,3026,0,108641
2019/5/24,688,636,20499,1332,695,5484,3280,3853,32928
2019/5/25,13265,0,5765,6047,0,6402,69643,0,21306
2019/5/26,8470,0,3943,4072,0,3317,25978,0,11865
2019/5/27,28881,332,9709,7168,130,2836,51841,1902,20514
2019/5/28,1718,0,82662,3884,0,15009,6464,0,226983
2019/5/29,928,0,4721,1776,0,4451,2912,0,20203
2019/5/30,91,0,3305,122,0,2303,296,0,28637
2019/5/31,75,0,19397,28,0,8565,114,0,266721
2019/6/1,0,103,42270,0,119,13736,0,2792,228895
2019/6/2,510,0,17738,396,0,6951,4706,0,69271
2019/6/3,0,0,2811,0,0,906,0,0,8891
2019/6/4,1063,0,3293,1187,0,1741,17735,0,11120
2019/6/5,126,0,2901,188,0,1018,1316,0,9939
2019/6/6,349,0,13935,270,0,4622,2724,0,85001
2019/6/7,852,0,487,414,0,6,2310,0,140
2019/6/8,0,0,2608,0,0,977,0,0,13697
2019/6/9,259,0,4170,164,0,3746,745,0,49048
2019/6/10,0,0,8219,0,0,6225,0,0,60550
2019/6/11,61,0,35160,47,0,15902,374,0,361793
2019/6/12,581,0,5688,412,0,1528,3392,0,15608
2019/6/13,224,0,1182,119,0,1083,947,0,20124
