中国电信营业厅官微,1,0,0,1134,1,0,0,0,1134,0,0,0
京东手机通讯,1,0,0,1630,1,0,0,0,1630,0,0,0
UI资源库,1,0,0,89,1,0,0,0,89,0,0,0
新财富杂志,4,0,0,688,3,1,0,0,575,0,0,113
智能科技,1,0,0,252,1,0,0,0,252,0,0,0
魏泽楷,1,0,0,915,1,0,0,0,915,0,0,0
杜文龙,5,0,0,1934,2,3,0,0,753,0,0,1181
Himalaya_带斑点的喵,1,0,0,119,1,0,0,0,119,0,0,0
头条新闻,23,0,0,318336,8,13,0,0,220110,0,0,61948
环球网,45,0,0,684112,21,23,0,0,581695,0,0,98581
央视新闻,22,0,0,402641,10,11,0,0,80013,0,0,313960
北京青年报,2,0,0,24350,1,1,0,0,13735,0,0,10615
新浪财经,58,0,0,490370,25,28,0,0,165434,0,0,212129
新浪证券,2,0,0,94721,1,1,0,0,3030,0,0,91691
胡锡进,16,0,0,512988,6,10,0,0,76319,0,0,436669
微天下,3,0,0,3957,0,2,0,0,0,0,0,610
财新网,2,0,0,31838,0,2,0,0,0,0,0,31838
Vista看天下,23,0,0,32840,13,10,0,0,11498,0,0,21342
唐有讼,1,0,0,24989,0,1,0,0,0,0,0,24989
中国日报,15,0,0,30968,10,5,0,0,25041,0,0,5927
新京报,10,0,0,201244,4,6,0,0,1662,0,0,199582
投资舆情,3,0,0,2732,2,0,0,0,1947,0,0,0
心外無物CV,1,0,0,958,0,1,0,0,0,0,0,958
Kevin在纽约,2,0,0,2391,0,2,0,0,0,0,0,2391
深圳微博发布厅,1,0,0,175438,0,1,0,0,0,0,0,175438
郎咸平,4,0,0,42289,1,3,0,0,1083,0,0,41206
成都商报,3,0,0,5033,3,0,0,0,5033,0,0,0
思想夜话,1,0,0,2750,1,0,0,0,2750,0,0,0
雪球,3,0,0,10530,2,1,0,0,3439,0,0,7091
草图君,1,0,0,3361,1,0,0,0,3361,0,0,0
机工战略,2,0,0,239,1,0,0,0,76,0,0,0
陳淨心_香港,1,0,0,2695,1,0,0,0,2695,0,0,0
人民日报,7,0,0,177915,2,5,0,0,17055,0,0,160860
新华视点,5,0,0,6424,1,4,0,0,452,0,0,5972
共青团中央,2,0,0,5654,0,2,0,0,0,0,0,5654
但斌,2,0,0,1796,0,2,0,0,0,0,0,1796
大佬,3,0,0,18956,3,0,0,0,18956,0,0,0
人民网,9,0,0,53264,4,5,0,0,1770,0,0,51494
天津股侠,4,0,0,12297,3,1,0,0,10394,0,0,1903
彩云香江,3,0,0,910,2,1,0,0,412,0,0,498
澎湃新闻,12,0,0,352766,3,9,0,0,1320,0,0,351446
何新老家伙,1,0,0,2138,0,1,0,0,0,0,0,2138
中国新闻周刊,3,0,0,6464,1,2,0,0,5962,0,0,502
工作在英国,1,0,0,882,0,1,0,0,0,0,0,882
白衣山猫,1,0,0,3348,0,1,0,0,0,0,0,3348
深圳宁南山,1,0,0,3975,0,1,0,0,0,0,0,3975
飞象网项立刚,13,0,0,17932,5,6,0,0,1576,0,0,15443
股市股道,2,0,0,1463,2,0,0,0,1463,0,0,0
梨视频,20,0,0,51375,11,8,0,0,17911,0,0,30631
大公報-大公網,1,0,0,16242,1,0,0,0,16242,0,0,0
环球市场播报,1,0,0,1320,0,1,0,0,0,0,0,1320
军武季,2,0,0,11116,1,1,0,0,3322,0,0,7794
蓝鲸财经记者工作平台,1,0,0,774,0,1,0,0,0,0,0,774
书房点兵,1,0,0,609,0,1,0,0,0,0,0,609
三亚事儿,1,0,0,3134,1,0,0,0,3134,0,0,0
TheLancet-Vivian,4,0,0,94778,4,0,0,0,94778,0,0,0
创业邦杂志,1,0,0,3402,1,0,0,0,3402,0,0,0
陈有西,1,0,0,1072,1,0,0,0,1072,0,0,0
我们都爱看科普,2,0,0,977,1,1,0,0,548,0,0,429
人民日报海外版-海外网,3,0,0,156355,1,2,0,0,1356,0,0,154999
wu2198,10,0,0,68174,8,2,0,0,41416,0,0,26758
黄刚,1,0,0,47521,1,0,0,0,47521,0,0,0
