日期序号,微博条数,积极条数,消极条数,积极转发,积极评论,积极赞,消极转发,消极评论,消极赞,总转发,总评论,总赞,平均积极转发,平均积极评论,平均积极赞,平均消极转发,平均消极评论,平均消极赞
2019/1/13,29,7,22,364,1046,912,3048,6857,6538,3412 ,7903 ,7450 ,52 ,149 ,130 ,139 ,312 ,297 
2019/1/14,30,24,6,22726,7582,17236,1286,1293,3150,24012 ,8875 ,20386 ,947 ,316 ,718 ,214 ,216 ,525 
2019/1/15,30,22,8,19932,14394,11603,4965,1325,2001,24897 ,15719 ,13604 ,906 ,654 ,527 ,621 ,166 ,250 
2019/1/16,30,16,14,11376,7602,7866,991,2756,4408,12367 ,10358 ,12274 ,711 ,475 ,492 ,71 ,197 ,315 
2019/1/17,30,23,7,13029,10503,25035,2510,2218,3685,15539 ,12721 ,28720 ,566 ,457 ,1088 ,359 ,317 ,526 
2019/1/18,30,21,9,3703,5704,16400,2128,2414,7225,5831 ,8118 ,23625 ,176 ,272 ,781 ,236 ,268 ,803 
2019/1/19,30,16,14,2162,1192,2448,1125,3069,2162,3287 ,4261 ,4610 ,135 ,75 ,153 ,80 ,219 ,154 
2019/1/20,30,15,15,4453,5638,12307,28063,12441,256633,32516 ,18079 ,268940 ,297 ,376 ,820 ,1871 ,829 ,17109 
2019/1/21,30,12,18,3909,2629,11930,12036,7132,13991,15945 ,9761 ,25921 ,326 ,219 ,994 ,669 ,396 ,777 
2019/1/22,30,19,11,5446,6330,10417,5184,7549,11844,10630 ,13879 ,22261 ,287 ,333 ,548 ,471 ,686 ,1077 
2019/1/23,30,18,12,2231,4054,5445,1483,1334,2396,3714 ,5388 ,7841 ,124 ,225 ,303 ,124 ,111 ,200 
2019/1/24,30,28,2,4069,7337,24797,378,440,1902,4447 ,7777 ,26699 ,145 ,262 ,886 ,189 ,220 ,951 
2019/1/25,30,19,11,8186,7793,7727,2091,2140,3517,10277 ,9933 ,11244 ,431 ,410 ,407 ,190 ,195 ,320 
2019/1/26,30,21,9,26894,9487,6610,1132,1719,2230,28026 ,11206 ,8840 ,1281 ,452 ,315 ,126 ,191 ,248 
2019/1/27,30,19,11,1763,2909,4823,762,1950,2792,2525 ,4859 ,7615 ,93 ,153 ,254 ,69 ,177 ,254 
2019/1/28,30,26,4,7257,6563,18175,700,999,1009,7957 ,7562 ,19184 ,279 ,252 ,699 ,175 ,250 ,252 
2019/1/29,30,14,16,4667,6421,14703,3920,9982,10673,8587 ,16403 ,25376 ,333 ,459 ,1050 ,245 ,624 ,667 
2019/1/30,30,19,11,4742,3577,6629,2475,1826,3554,7217 ,5403 ,10183 ,250 ,188 ,349 ,225 ,166 ,323 
2019/1/31,30,22,8,3134,4358,8519,1509,1829,2207,4643 ,6187 ,10726 ,142 ,198 ,387 ,189 ,229 ,276 
2019/2/1,30,24,6,21446,11346,14319,555,772,1620,22001 ,12118 ,15939 ,894 ,473 ,597 ,93 ,129 ,270 
2019/2/2,30,26,4,15740,13522,26365,968,1111,7035,16708 ,14633 ,33400 ,605 ,520 ,1014 ,242 ,278 ,1759 
2019/2/3,30,23,7,2051,2365,3929,2331,1122,3137,4382 ,3487 ,7066 ,89 ,103 ,171 ,333 ,160 ,448 
2019/2/4,28,18,10,12039,14087,9982,2719,2228,2442,14758 ,16315 ,12424 ,669 ,783 ,555 ,272 ,223 ,244 
2019/2/5,25,19,6,3642,4802,5729,442,267,2422,4084 ,5069 ,8151 ,192 ,253 ,302 ,74 ,45 ,404 
2019/2/6,30,16,14,1920,1987,2469,843,1836,2644,2763 ,3823 ,5113 ,120 ,124 ,154 ,60 ,131 ,189 
2019/2/7,30,23,7,2564,2708,4658,220,482,573,2784 ,3190 ,5231 ,111 ,118 ,203 ,31 ,69 ,82 
2019/2/8,25,18,7,1488,4144,9086,1325,914,1456,2813 ,5058 ,10542 ,83 ,230 ,505 ,189 ,131 ,208 
2019/2/9,30,23,7,1265,1915,6353,206,382,833,1471 ,2297 ,7186 ,55 ,83 ,276 ,29 ,55 ,119 
2019/2/10,25,18,7,630,2952,3974,149,825,587,779 ,3777 ,4561 ,35 ,164 ,221 ,21 ,118 ,84 
2019/2/11,30,25,5,135531,197177,251744,4425,13026,10125,139956 ,210203 ,261869 ,5421 ,7887 ,10070 ,885 ,2605 ,2025 
2019/2/12,30,18,12,1289,2400,3845,2797,3037,11597,4086 ,5437 ,15442 ,72 ,133 ,214 ,233 ,253 ,966 
2019/2/13,30,21,9,28244,194450,235022,1538,2255,9996,29782 ,196705 ,245018 ,1345 ,9260 ,11192 ,171 ,251 ,1111 
2019/2/14,30,19,11,5953,7727,13080,671,2316,4681,6624 ,10043 ,17761 ,313 ,407 ,688 ,61 ,211 ,426 
2019/2/15,30,21,9,4569,3514,7690,636,869,2291,5205 ,4383 ,9981 ,218 ,167 ,366 ,71 ,97 ,255 
2019/2/16,30,15,15,1153,1463,2593,890,1899,3738,2043 ,3362 ,6331 ,77 ,98 ,173 ,59 ,127 ,249 
2019/2/17,30,15,15,1267,1454,2078,740,1121,1293,2007 ,2575 ,3371 ,84 ,97 ,139 ,49 ,75 ,86 
