用户ID,微博数,转发数,评论数,点赞数,积极数,消极数,平均转发,平均评论,平均点赞,积极转发数,积极评论数,积极点赞数,消极转发数,消极评论数,消极点赞数
inke映客,2,209568,4829,5093,2,0,104784,2415,2547,209568,4829,5093,0,0,0
老殁,2,748,1130,12196,0,2,374,565,6098,0,0,0,748,1130,12196
安兔兔,2,358,4555,34413,0,2,179,2278,17207,0,0,0,358,4555,34413
段子楼,2,467,356,1559,1,1,234,178,780,72,140,808,395,216,751
互联网三爷说,2,638,1932,46707,2,0,319,966,23354,638,1932,46707,0,0,0
ING直播,2,1477,14651,135003,1,1,739,7326,67502,1020,6529,80698,457,8122,54305
萝卜报告,2,26,195,12389,1,1,13,98,6195,15,99,7571,11,96,4818
数码天才,2,373,687,1156,2,0,187,344,578,373,687,1156,0,0,0
万茜,2,1858,2468,34747,2,0,929,1234,17374,1858,2468,34747,0,0,0
科技杰克,2,531,473,4424,1,1,266,237,2212,524,397,2217,7,76,2207
恋一朵小猫,2,22,8,639,2,0,11,4,320,22,8,639,0,0,0
搞笑二娘,2,2089,4373,61846,2,0,1045,2187,30923,2089,4373,61846,0,0,0
冷知识bot,2,1228,2151,25319,2,0,614,1076,12660,1228,2151,25319,0,0,0
Freshxxxx,2,1106,339,3066,2,0,553,170,1533,1106,339,3066,0,0,0
邓见超marc,2,203,624,2966,2,0,102,312,1483,203,624,2966,0,0,0
司马3忌,2,718,1194,4592,0,2,359,597,2296,0,0,0,718,1194,4592
B总大都督,2,157,596,3657,2,0,79,298,1829,157,596,3657,0,0,0
笑帅了,2,20,223,3010,0,2,10,112,1505,0,0,0,20,223,3010
许沃若呀,2,51,113,389,2,0,26,57,195,51,113,389,0,0,0
金主哥,2,446,5439,379162,1,1,223,2720,189581,50,40,3920,396,5399,375242
蜻蜓队长,2,157,256,680,0,2,79,128,340,0,0,0,157,256,680
燃新闻,2,178,141,1078,0,2,89,71,539,0,0,0,178,141,1078
科技C先生,2,41,113,3277,0,2,21,57,1639,0,0,0,41,113,3277
机氪,2,78,542,2892,1,1,39,271,1446,43,289,1834,35,253,1058
新世相,2,366,716,1957,2,0,183,358,979,366,716,1957,0,0,0
格调Moment9,2,132,246,733,2,0,66,123,367,132,246,733,0,0,0
记者陈青青,2,339,385,3122,1,1,170,193,1561,183,81,1140,156,304,1982
广西政法,2,23,73,14166,2,0,12,37,7083,23,73,14166,0,0,0
纪懵懵,2,789,792,2271,2,0,395,396,1136,789,792,2271,0,0,0
百度输入法,2,1153,630,2644,1,1,577,315,1322,472,224,416,681,406,2228
东吴彩虹糖,2,625,500,1315,2,0,313,250,658,625,500,1315,0,0,0
Jo陳帥,2,47,454,941,1,1,24,227,471,42,228,553,5,226,388
影视吐槽君,2,343,60,985,0,2,172,30,493,0,0,0,343,60,985
杨凯雯rr,2,7732,11606,133744,2,0,3866,5803,66872,7732,11606,133744,0,0,0
月风_投资笔记,2,216,230,773,0,2,108,115,387,0,0,0,216,230,773
职场情报菊,2,2663,2427,21506,0,2,1332,1214,10753,0,0,0,2663,2427,21506
谭湘君Jjun,2,2390,2545,9398,2,0,1195,1273,4699,2390,2545,9398,0,0,0
小柒会成为更好的自己,2,194,137,652,2,0,97,69,326,194,137,652,0,0,0
烈枫,2,27,227,3656,1,1,14,114,1828,21,151,450,6,76,3206
Ivansidorenko,2,73,118,506,2,0,37,59,253,73,118,506,0,0,0
赵宇豪Steven,2,1484,4294,13937,2,0,742,2147,6969,1484,4294,13937,0,0,0
我的旅行小马甲,2,345,734,2514,2,0,173,367,1257,345,734,2514,0,0,0
做个东西,2,3220,2493,12131,2,0,1610,1247,6066,3220,2493,12131,0,0,0
沫薇Alysa,2,15,135,463,2,0,8,68,232,15,135,463,0,0,0
香港自由行加加,2,142,504,3148,1,1,71,252,1574,118,398,2465,24,106,683
杨牧宸,2,176,958,3937,1,1,88,479,1969,81,470,861,95,488,3076
一碗糊萝卜,2,821,300,1914,1,1,411,150,957,358,120,453,463,180,1461
盐奶妹妹,2,2699,818,4749,2,0,1350,409,2375,2699,818,4749,0,0,0
笑趴了,2,51,62,343,0,2,26,31,172,0,0,0,51,62,343
拾肆號吸烊选手,2,2209,179,4083,2,0,1105,90,2042,2209,179,4083,0,0,0
李大锤同学,2,552,521,1322,2,0,276,261,661,552,521,1322,0,0,0
满满Cyim,2,555,1966,4986,2,0,278,983,2493,555,1966,4986,0,0,0
笑笑同学啊_,2,106,2433,2932,2,0,53,1217,1466,106,2433,2932,0,0,0
数码IT迷,2,128,369,665,2,0,64,185,333,128,369,665,0,0,0
肖战数据站,2,610,911,3273,2,0,305,456,1637,610,911,3273,0,0,0
科技小乙,2,26,107,1786,1,1,13,54,893,6,28,1370,20,79,416
studiosix,2,45910,2191,12784,2,0,22955,1096,6392,45910,2191,12784,0,0,0
勇气数码君,2,3680,731,4029,2,0,1840,366,2015,3680,731,4029,0,0,0
子午侠士,2,845,2380,13405,0,2,423,1190,6703,0,0,0,845,2380,13405
来点石锤,2,22157,670,2616,0,2,11079,335,1308,0,0,0,22157,670,2616
2楼哎呦喂多多,2,18,252,1293,2,0,9,126,647,18,252,1293,0,0,0
速报哥,2,196,1484,6095,1,1,98,742,3048,74,905,3733,122,579,2362
迷失的豆包Baby,2,10900,12067,16471,2,0,5450,6034,8236,10900,12067,16471,0,0,0
科技商说,2,98,862,3196,1,1,49,431,1598,59,484,2375,39,378,821
F伯爵,2,104,48,102,2,0,52,24,51,104,48,102,0,0,0
中国国家地理,2,399,201,1552,2,0,200,101,776,399,201,1552,0,0,0
