用户ID,微博数,转发数,评论数,点赞数,积极数,消极数,平均转发,平均评论,平均点赞,积极转发数,积极评论数,积极点赞数,消极转发数,消极评论数,消极点赞数
胡锡进,28,18063,45808,82566,17,11,645.11 ,1636.00 ,2948.79 ,10886,25799,47203,7177,20009,35363
电商报,28,6114,6562,25095,15,11,218.36 ,234.36 ,896.25 ,2653,3602,16474,2774,1597,6057
中国IT杂谈,27,2369,8908,35073,13,10,87.74 ,329.93 ,1299.00 ,1276,2189,6484,673,3363,10214
新京报,27,2501,6741,19529,14,12,92.63 ,249.67 ,723.30 ,1113,2835,7166,1331,3680,9848
华为商城,26,93940,30045,67069,25,1,3613.08 ,1155.58 ,2579.58 ,90838,19654,59291,3102,10391,7778
早报网,25,1972,4485,6391,13,12,78.88 ,179.40 ,255.64 ,865,1599,2392,1107,2886,3999
紫光阁,25,9987,7575,58159,15,10,399.48 ,303.00 ,2326.36 ,6335,4477,36371,3652,3098,21788
人民网,25,5836,4626,27174,10,14,233.44 ,185.04 ,1086.96 ,2422,2026,12125,3203,2343,14227
新浪新闻客户端,24,922,1864,6020,16,8,38.42 ,77.67 ,250.83 ,637,1153,4729,285,711,1291
新浪新闻,24,4528,14975,171543,15,9,188.67 ,623.96 ,7147.63 ,3920,13604,168310,608,1371,3233
中国联通,24,25945,11535,12727,23,1,1081.04 ,480.63 ,530.29 ,19345,6905,11061,6600,4630,1666
数码研究所,23,508,3023,8833,14,4,22.09 ,131.43 ,384.04 ,320,1647,5508,69,593,1654
奥卡姆剃刀,23,14083,8174,46260,10,11,612.30 ,355.39 ,2011.30 ,1120,1189,3067,12584,6516,42227
程序员新视界,23,3557,11638,103055,6,13,154.65 ,506.00 ,4480.65 ,722,2045,53593,2350,8441,33604
凤凰网,22,2294,5249,10959,15,7,104.27 ,238.59 ,498.14 ,1490,3304,8247,804,1945,2712
中国企业家杂志,22,5765,3466,32768,15,6,262.05 ,157.55 ,1489.45 ,1829,2259,28054,3916,1198,4679
晴天披沥,22,1443,3387,23449,10,10,65.59 ,153.95 ,1065.86 ,678,1582,10671,418,1441,9131
中国长安网,21,1877,1062,20059,16,5,89.38 ,50.57 ,955.19 ,1464,906,19486,413,156,573
