date,res0,res1,res2,r
2019/5/25,183,35,39,0.151750973
2019/5/26,171,29,71,0.26199262
2019/5/27,164,0,216,0.568421053
2019/5/28,98,32,42,0.244186047
2019/5/29,106,32,107,0.436734694
2019/5/30,100,0,217,0.684542587
2019/5/31,113,0,134,0.542510121
2019/6/1,68,0,5,0.068493151
2019/6/2,38,0,61,0.616161616
2019/6/3,157,0,137,0.465986395
2019/6/4,56,0,107,0.656441718
2019/6/5,50,0,177,0.779735683
2019/6/6,29,26,98,0.640522876
2019/6/7,138,28,124,0.427586207
2019/6/8,80,0,178,0.689922481
2019/6/9,15,0,94,0.862385321
2019/6/10,155,0,88,0.362139918
2019/6/11,190,0,54,0.221311475
2019/6/12,145,15,81,0.336099585
2019/6/13,89,23,176,0.611111111
2019/6/14,95,0,176,0.649446494
2019/6/15,45,0,193,0.81092437
2019/6/16,137,0,87,0.388392857
2019/6/17,113,31,89,0.381974249
2019/6/18,67,0,109,0.619318182
2019/6/19,83,0,124,0.599033816
2019/6/20,158,0,157,0.498412698
2019/6/21,87,0,170,0.661478599
2019/6/22,124,0,101,0.448888889
2019/6/23,124,0,24,0.162162162
2019/6/24,83,0,213,0.719594595
2019/6/25,67,0,288,0.811267606
2019/6/26,164,29,137,0.415151515
2019/6/27,18,41,128,0.684491979
2019/6/28,54,0,162,0.75
2019/6/29,75,0,107,0.587912088
2019/6/30,74,25,37,0.272058824
2019/7/1,169,0,46,0.213953488
2019/7/2,68,0,127,0.651282051
2019/7/3,135,0,80,0.372093023
2019/7/4,93,13,70,0.397727273
2019/7/5,25,0,32,0.561403509
2019/7/6,18,0,70,0.795454545
2019/7/7,103,0,45,0.304054054
2019/7/8,164,0,125,0.432525952
2019/7/9,118,0,25,0.174825175
2019/7/10,0,0,0,0
2019/7/11,0,0,0,0
2019/7/12,98,0,172,0.637037037
2019/7/13,47,0,60,0.560747664
2019/7/14,50,0,35,0.411764706
2019/7/15,69,0,38,0.355140187
2019/7/16,105,15,198,0.622641509
2019/7/17,64,0,48,0.428571429
2019/7/18,71,0,76,0.517006803
2019/7/19,171,0,0,0
2019/7/20,21,0,0,0
2019/7/21,8,69,27,0.259615385
2019/7/22,8,0,82,0.911111111
2019/7/23,38,0,120,0.759493671
2019/7/24,12,0,178,0.936842105
2019/7/25,145,0,71,0.328703704
2019/7/26,67,0,172,0.719665272
2019/7/27,23,0,182,0.887804878
2019/7/28,54,0,33,0.379310345
2019/7/29,0,0,96,1
2019/7/30,98,0,165,0.627376426
2019/7/31,175,0,240,0.578313253
2019/8/1,36,0,41,0.532467532
2019/8/2,62,0,43,0.40952381
2019/8/3,6,0,26,0.8125
2019/8/4,0,0,84,1
2019/8/5,79,0,10,0.112359551
2019/8/6,87,0,126,0.591549296
2019/8/7,24,0,32,0.571428571
2019/8/8,53,0,66,0.554621849
2019/8/9,127,0,142,0.527881041
2019/8/10,56,10,76,0.535211268
2019/8/11,0,0,88,1
2019/8/12,0,0,255,1
2019/8/13,55,0,31,0.360465116
2019/8/14,16,0,28,0.636363636
2019/8/15,0,0,142,1
2019/8/16,112,0,135,0.546558704
2019/8/17,166,0,76,0.314049587
2019/8/18,11,0,19,0.633333333
2019/8/19,10,0,122,0.924242424
2019/8/20,63,0,147,0.7
2019/8/21,33,0,0,0
2019/8/22,45,0,26,0.366197183
2019/8/23,19,0,0,0
2019/8/24,0,0,0,0
2019/8/25,0,0,0,0
2019/8/26,34,19,137,0.721052632
2019/8/27,25,0,53,0.679487179
2019/8/28,28,0,70,0.714285714
2019/8/29,71,0,46,0.393162393
2019/8/30,26,0,18,0.409090909
2019/8/31,0,0,29,1
2019/9/1,32,0,43,0.573333333
2019/9/2,44,0,104,0.702702703
2019/9/3,92,0,132,0.589285714
2019/9/4,44,0,19,0.301587302
2019/9/5,61,27,123,0.582938389
2019/9/6,0,0,18,1
2019/9/7,41,0,0,0
2019/9/8,45,0,108,0.705882353
2019/9/9,61,0,92,0.60130719
2019/9/10,0,0,5,1
2019/9/11,35,0,125,0.78125
2019/9/12,148,0,74,0.333333333
2019/9/13,0,0,60,1
2019/9/14,52,0,89,0.631205674
2019/9/15,30,0,37,0.552238806
2019/9/16,30,47,80,0.50955414
2019/9/17,0,0,54,1
2019/9/18,87,0,75,0.462962963
2019/9/19,0,0,338,1
2019/9/20,0,16,348,0.956043956
2019/9/21,42,80,91,0.427230047
2019/9/22,25,0,31,0.553571429
2019/9/23,130,0,66,0.336734694
2019/9/24,106,0,70,0.397727273
2019/9/25,0,0,40,1
2019/9/26,111,0,214,0.658461538
2019/9/27,0,0,302,1
2019/9/28,15,0,55,0.785714286
2019/9/29,58,10,105,0.606936416
2019/9/30,35,29,70,0.52238806
2019/10/1,80,0,15,0.157894737
2019/10/2,12,0,74,0.860465116
2019/10/3,67,0,27,0.287234043
2019/10/4,19,0,11,0.366666667
2019/10/5,22,0,48,0.685714286
2019/10/6,0,0,50,1
2019/10/7,19,0,27,0.586956522
2019/10/8,53,0,0,0
2019/10/9,30,0,31,0.508196721
2019/10/10,25,0,120,0.827586207
2019/10/11,46,0,20,0.303030303
2019/10/12,0,0,89,1
2019/10/13,8,0,15,0.652173913
2019/10/14,67,0,29,0.302083333
2019/10/15,16,24,73,0.646017699
2019/10/16,40,0,60,0.6
2019/10/17,0,0,50,1
2019/10/18,68,10,134,0.632075472
2019/10/19,0,0,0,0
2019/10/20,31,0,25,0.446428571
2019/10/21,16,0,32,0.666666667
2019/10/22,23,0,37,0.616666667
2019/10/23,0,0,31,1
2019/10/24,103,64,12,0.067039106
2019/10/25,0,0,26,1
2019/10/26,0,0,145,1
2019/10/27,26,0,0,0
2019/10/28,0,0,13,1
2019/10/29,6,0,26,0.8125
2019/10/30,43,0,40,0.481927711
2019/10/31,43,0,32,0.426666667
2019/11/1,46,0,154,0.77
2019/11/2,0,0,0,0
2019/11/3,12,13,65,0.722222222
2019/11/4,0,0,0,0
2019/11/5,0,0,7,1
2019/11/6,0,0,0,0
2019/11/7,0,0,0,0
2019/11/8,3,0,43,0.934782609
2019/11/9,0,0,0,0
2019/11/10,0,0,0,0
2019/11/11,0,0,44,1
2019/11/12,50,0,0,0
2019/11/13,0,0,24,1
2019/11/14,12,0,0,0
2019/11/15,0,0,20,1
2019/11/16,13,0,0,0
2019/11/17,31,0,0,0
2019/11/18,13,0,0,0
2019/11/19,42,0,10,0.192307692
2019/11/20,0,0,0,0
2019/11/21,31,0,88,0.739495798
2019/11/22,13,13,25,0.490196078
2019/11/23,64,0,0,0
2019/11/24,9,0,6,0.4
2019/11/25,0,0,85,1
2019/11/26,2,0,0,0
2019/11/27,16,0,14,0.466666667
2019/11/28,54,0,20,0.27027027
2019/11/29,41,0,0,0
2019/11/30,86,0,0,0
2019/12/1,11,0,0,0
2019/12/2,71,0,42,0.371681416
2019/12/3,106,0,110,0.509259259
2019/12/4,7,0,50,0.877192982
2019/12/5,66,0,41,0.38317757
2019/12/6,27,0,182,0.870813397
2019/12/7,123,0,75,0.378787879
2019/12/8,68,0,104,0.604651163
2019/12/9,16,0,160,0.909090909
2019/12/10,132,41,73,0.296747967
2019/12/11,26,0,191,0.880184332
2019/12/12,11,16,132,0.830188679
2019/12/13,84,0,108,0.5625
2019/12/14,58,0,42,0.42
2019/12/15,95,0,166,0.636015326
2019/12/16,102,18,106,0.469026549
2019/12/17,91,0,192,0.67844523
2019/12/18,116,97,51,0.193181818
2019/12/19,58,0,115,0.664739884
2019/12/20,39,0,58,0.597938144
2019/12/21,78,0,186,0.704545455
2019/12/22,64,23,92,0.51396648
2019/12/23,125,0,209,0.625748503
2019/12/24,111,0,96,0.463768116
2019/12/25,70,0,174,0.713114754
2019/12/26,104,0,107,0.507109005
2019/12/27,132,0,31,0.190184049
2019/12/28,17,31,80,0.625
2019/12/29,125,0,46,0.269005848
2019/12/30,96,0,139,0.591489362
2019/12/31,61,0,117,0.657303371
