date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2,r
2019-03-03,0,0,138,0,0,112,0,0,328,1.0
2019-03-04,52,0,903,74,0,1715,118,0,3090,0.959005376344086
2019-03-05,0,0,534,0,0,1709,0,0,2527,1.0
2019-03-06,61,5,1254,372,7,456,1587,56,607,0.5259931895573212
2019-03-07,2832,6590,5123,1940,3178,3881,9682,17958,23771,0.4372623574144487
2019-03-08,84,106,998,141,104,1019,602,431,4389,0.8135636271272543
2019-03-09,45,393,145,84,321,110,122,3331,183,0.09252217997465145
2019-03-10,98,0,0,325,0,0,591,0,0,0.0
2019-03-11,23,0,1104,31,0,2861,75,0,7258,0.9886363636363636
2019-03-12,912,0,367,665,0,928,3761,0,1411,0.3363998010939831
2019-03-13,223,455,71,203,441,87,569,1605,468,0.15186802523047063
2019-03-14,843,118,871,2014,163,230,2815,337,598,0.2126674176993366
2019-03-15,239,96,15329,300,331,2606,370,145,5416,0.9403592139175257
2019-03-16,6580,14,62,928,7,385,31593,202,721,0.028845203990911786
2019-03-17,0,0,2283,0,0,1889,0,0,3552,1.0
2019-03-18,37,24,100,166,68,169,361,380,466,0.4150197628458498
2019-03-19,0,0,10461,0,0,3795,0,0,19469,1.0
2019-03-20,0,291,10195,0,202,6600,0,688,22798,0.9710354637759356
2019-03-21,8582,0,647,1016,0,920,3241,0,2682,0.24865402621722846
2019-03-22,68,0,7718,307,0,3657,773,0,3816,0.9297386620968235
2019-03-23,0,0,7638,0,0,1033,0,0,2990,1.0
2019-03-24,0,0,550,0,0,511,0,0,2161,1.0
2019-03-25,3450,2144,2447,8394,637,3014,5424,630,8353,0.4004870553445627
2019-03-26,0,0,55908,0,0,17497,0,0,29556,1.0
2019-03-27,2371,0,14903,3325,0,12243,6301,0,20192,0.7978090503075757
2019-03-28,0,0,250,0,0,345,0,0,2165,1.0
2019-03-29,16,234,301,9,239,110,102,151,407,0.521351179094965
2019-03-30,391,0,892,933,0,1256,1184,0,2245,0.6365744095058687
2019-03-31,364,0,735,590,0,1132,1054,0,2650,0.6922605363984674
2019-04-01,292,63,249,752,77,742,2445,122,2334,0.4698982475975127
2019-04-02,0,0,3412,0,0,2496,0,0,5370,1.0
2019-04-03,169,0,2373,257,0,2227,153,0,7666,0.9549240949785909
2019-04-04,72,0,502,294,0,735,121,0,1153,0.8307264511644074
2019-04-05,0,0,579,0,0,903,0,0,2058,1.0
2019-04-06,36,84,62,123,49,172,637,218,595,0.41953441295546556
2019-04-07,11,553,1287,271,114,509,220,915,2480,0.6723270440251572
2019-04-08,18,0,111,39,0,191,162,0,459,0.7765306122448979
2019-04-09,0,0,156,0,0,632,0,0,1080,1.0
2019-04-10,0,4380,760,0,700,667,0,424,2679,0.4272632674297607
2019-04-11,0,0,34820,0,0,18363,0,0,32467,1.0
2019-04-12,0,106,2892,0,88,1857,0,147,9473,0.976584494952963
2019-04-13,885,0,243,3503,0,1737,4922,0,2533,0.32648484410041234
2019-04-14,196,0,198,881,0,204,1545,0,637,0.2838022398251844
2019-04-15,157,71,296,661,45,795,381,251,1927,0.6583769633507853
2019-04-16,0,216,13084,0,145,13798,0,468,29837,0.9855946340446237
2019-04-17,1320,0,4067,3505,0,4441,3889,0,15625,0.7347094102962218
2019-04-18,20,0,868,50,0,1413,50,0,2460,0.9753137214564904
2019-04-19,78,79,1486,56,218,1649,168,291,2597,0.8655995167623075
2019-04-20,0,90,390,0,103,2201,0,233,2061,0.9161087042142576
2019-04-21,30,0,2078,676,0,863,408,0,4577,0.8709453197405005
2019-04-22,0,0,5520,0,0,6594,0,0,6605,1.0
2019-04-23,14,108,5981,94,55,4878,60,172,12055,0.9785198787205877
2019-04-24,21,0,191,109,0,177,70,0,649,0.8356614626129828
2019-04-25,0,63,1916,0,59,2119,0,454,4693,0.938091143594153
2019-04-26,0,0,104,0,0,131,0,0,406,1.0
2019-04-28,19,0,508,187,0,1176,98,0,3472,0.9443223443223443
2019-04-29,574,0,3683,831,0,3090,685,0,7249,0.8702830188679245
2019-04-30,1550,0,9722,2245,0,4150,582,0,13311,0.8613117870722433
2019-05-01,65,0,3190,718,0,1614,559,0,3121,0.8551850652854214
2019-05-02,648,0,530,1097,0,396,5132,0,386,0.16021492245695446
2019-05-03,87,117,1721,136,253,868,1119,479,6748,0.809941013185288
2019-05-04,0,0,248,0,0,70,0,0,972,1.0
2019-05-05,27,0,1288,16,0,575,29,0,4713,0.9891696750902527
2019-05-06,110,0,15252,16,0,7370,112,0,15237,0.9937527889335118
2019-05-07,71,0,2808,52,0,3765,105,0,8096,0.9846949050144325
2019-05-08,0,0,5814,0,0,2792,0,0,5260,1.0
2019-05-09,1138,0,589,984,0,782,7537,0,3059,0.3144296969266804
2019-05-10,111,0,562,74,0,1138,64,0,4525,0.9615384615384616
2019-05-11,0,0,391,0,0,601,0,0,1134,1.0
2019-05-12,0,0,19,0,0,9,0,0,110,1.0
2019-05-13,87,0,4982,59,0,3667,50,0,34460,0.9954739637455259
2019-05-14,0,0,5716,0,0,6500,0,0,6478,1.0
2019-05-15,0,28,601,0,8,540,0,63,1148,0.9585427135678392
2019-05-16,470,133,4264,547,395,3846,2696,894,11637,0.7936259143155695
2019-05-17,107,0,665,83,0,954,533,0,5944,0.9127443881245474
2019-05-18,0,0,356,0,0,456,0,0,2013,1.0
2019-05-19,117,0,782,211,0,239,132,0,1811,0.8602673147023087
2019-05-20,2022,0,318,2643,0,1002,8086,0,1255,0.16801513767454
2019-05-21,8453,2700,6569,4503,1601,4312,31097,10409,17998,0.329510965062413
2019-05-22,0,0,7628,0,0,8069,0,0,48246,1.0
2019-05-23,1831,0,23173,3868,0,24898,3026,0,108641,0.9472608908527113
2019-05-24,688,636,20499,1332,695,5484,3280,3853,32928,0.8489228330571367
2019-05-25,13265,0,5765,6047,0,6402,69643,0,21306,0.27340967752474926
2019-05-26,8470,0,3943,4072,0,3317,25978,0,11865,0.3317720530835285
2019-05-27,28881,332,9709,7168,130,2836,51841,1902,20514,0.2680901445914056
2019-05-28,1718,0,82662,3884,0,15009,6464,0,226983,0.9641660727013542
2019-05-29,928,0,4721,1776,0,4451,2912,0,20203,0.8395015861221456
2019-05-30,91,0,3305,122,0,2303,296,0,28637,0.9853542038326524
2019-05-31,75,0,19397,28,0,8565,114,0,266721,0.9992641573414717
2019-06-01,0,103,42270,0,119,13736,0,2792,228895,0.9895316325998993
2019-06-02,510,0,17738,396,0,6951,4706,0,69271,0.9436387739525167
2019-06-03,0,0,2811,0,0,906,0,0,8891,1.0
2019-06-04,1063,0,3293,1187,0,1741,17735,0,11120,0.4469963197653504
2019-06-05,126,0,2901,188,0,1018,1316,0,9939,0.8947572314049587
2019-06-06,349,0,13935,270,0,4622,2724,0,85001,0.9687280755091159
2019-06-07,852,0,487,414,0,6,2310,0,140,0.150392017106201
2019-06-08,0,0,2608,0,0,977,0,0,13697,1.0
2019-06-09,259,0,4170,164,0,3746,745,0,49048,0.9799077960503682
2019-06-10,0,0,8219,0,0,6225,0,0,60550,1.0
2019-06-11,61,0,35160,47,0,15902,374,0,361793,0.9988338813123432
2019-06-12,581,0,5688,412,0,1528,3392,0,15608,0.83884008967621
2019-06-13,224,0,1182,119,0,1083,947,0,20124,0.9455213480299
2019-06-14,0,0,67208,0,0,16892,0,0,66779,1.0
2019-06-15,18,0,2752,131,0,1768,1405,0,18965,0.9379368185630417
2019-06-16,348,98,802,2070,74,3141,10032,824,19574,0.6362308254200146
2019-06-17,293,9443,10830,1795,759,10956,9164,11650,9602,0.4866960243130931
2019-06-18,0,0,10936,0,0,8601,0,0,51072,1.0
2019-06-19,0,0,10457,0,0,3148,0,0,27028,1.0
2019-06-20,1984,0,18036,2057,0,4185,20702,0,37423,0.7067913304181924
2019-06-21,3544,436,26312,983,1107,5918,7157,22296,83601,0.765298571560712
2019-06-22,0,0,3401,0,0,1873,0,0,12956,1.0
2019-06-23,628,0,4310,1311,0,4040,8063,0,39993,0.8285714285714286
2019-06-24,89,0,702,206,0,515,739,0,3834,0.8300739523418241
2019-06-25,58,0,5716,122,0,5409,1263,0,37609,0.9712418040137912
2019-06-26,3211,0,2469,2266,0,2333,20943,0,10158,0.36152730787820203
2019-06-27,10338,0,690,2446,0,1322,35031,0,7406,0.1645554138346758
2019-06-28,270,0,8833,178,0,7237,2965,0,104124,0.9723882951612772
2019-06-29,186,0,2349,189,0,2943,3727,0,31034,0.8985356683486693
2019-06-30,124,0,2255,155,0,2070,777,0,9613,0.9295718287314926
2019-07-01,59,0,1319,32,0,528,393,0,3350,0.9148037317373702
2019-07-02,0,0,230,0,0,65,0,0,423,1.0
2019-07-03,0,0,209,0,0,315,0,0,1832,1.0
2019-07-04,0,0,191,0,0,256,0,0,1032,1.0
2019-07-05,126,0,360,131,0,82,1096,0,234,0.33316904879250864
2019-07-06,81,59,764,62,9,796,202,220,7546,0.9350035937981312
2019-07-07,0,0,857,0,0,302,0,0,2598,1.0
2019-07-08,0,0,0,0,0,0,0,0,0,0
2019-07-09,1158,658,5788,941,416,9213,3431,4741,20934,0.7600465313028765
2019-07-10,104,0,32,97,0,51,712,0,300,0.29552469135802467
2019-07-11,21,112,1130,12,57,797,66,358,4231,0.9077240566037735
2019-07-12,0,0,63,0,0,26,0,0,357,1.0
2019-07-13,7,0,78,117,0,112,730,0,2010,0.7203667321545514
2019-07-14,0,0,1418,0,0,1397,0,0,4037,1.0
2019-07-15,120,0,2668,602,0,1848,1904,0,8896,0.8362638733009103
2019-07-16,0,0,1741,0,0,1912,0,0,4446,1.0
2019-07-17,147,0,3021,196,0,4388,1017,0,43824,0.9741410453862681
2019-07-18,588,0,2690,313,0,1745,1246,0,8878,0.8611254851228978
2019-07-19,742,0,5918,476,0,2691,549,0,11118,0.9177910114450545
2019-07-20,0,0,253,0,0,32,0,0,313,1.0
2019-07-21,12,149,1231,427,261,891,1119,1013,4063,0.6747763473707179
2019-07-22,82,0,1375,35,0,2049,98,0,14644,0.9882404419406006
2019-07-23,0,0,3704,0,0,4075,0,0,29747,1.0
2019-07-24,50,0,1040,118,0,2995,1530,0,6874,0.865312921392877
2019-07-25,127,0,392,256,0,984,983,0,4724,0.8170372354674524
2019-07-26,49,2742,1350,86,8572,879,576,139654,4913,0.044968864318950266
2019-07-27,339,40,2628,693,238,2417,3203,839,12304,0.7642394608167041
2019-07-28,861,0,525,258,0,226,352,0,953,0.5366929133858268
2019-07-29,0,0,209,0,0,278,0,0,2058,1.0
2019-07-30,963,0,97,1938,0,298,22644,0,1659,0.07442298634008479
2019-07-31,0,66,39,0,124,229,0,1254,414,0.32079021636876764
2019-08-01,95,0,803,394,0,590,1347,0,4028,0.7470028937577511
2019-08-02,0,0,24,0,0,61,0,0,389,1.0
2019-08-03,0,0,881,0,0,783,0,0,10652,1.0
2019-08-04,8,0,478,188,0,588,238,0,2092,0.8791759465478842
2019-08-05,0,0,6414,0,0,2674,0,0,12510,1.0
2019-08-06,0,0,8078,0,0,3360,0,0,27571,1.0
2019-08-07,43,0,483,79,0,990,541,0,2686,0.8625051845707176
2019-08-08,0,0,1148,0,0,1639,0,0,8999,1.0
2019-08-09,0,0,61464,0,0,32294,0,0,612525,1.0
2019-08-10,0,0,3944,0,0,4068,0,0,40579,1.0
2019-08-11,143,0,847,553,0,356,3864,0,6503,0.6282406652535464
2019-08-12,29,62,1509,394,114,1935,1049,570,11207,0.8685162131720908
2019-08-13,0,0,1530,0,0,1748,0,0,10843,1.0
2019-08-14,0,0,379,0,0,1110,0,0,4427,1.0
2019-08-15,0,0,2938,0,0,1649,0,0,6860,1.0
2019-08-16,0,0,17482,0,0,8195,0,0,31171,1.0
2019-08-17,2801,0,8654,1613,0,2122,24444,0,49491,0.6762075736325386
2019-08-18,464,323,1483,941,235,2033,19612,3194,26781,0.5501943122798096
2019-08-19,178,0,23352,367,0,11992,3598,0,126157,0.9749885296177344
2019-08-20,0,0,2057,0,0,2086,0,0,2209,1.0
2019-08-21,81,0,2694,212,0,895,1234,0,42786,0.9681224166005594
2019-08-22,187,0,7338,243,0,12658,5091,0,163712,0.9708237109533951
2019-08-23,333,0,66289,460,0,3002,5117,0,77813,0.9613760832342139
2019-08-24,40,0,8688,324,0,3064,736,0,11222,0.9543075517155437
2019-08-25,67,0,1763,144,0,388,1183,0,4708,0.8310917242214952
2019-08-26,0,0,1880,0,0,2792,0,0,6229,1.0
2019-08-27,0,54,2834,0,38,586,0,119,3030,0.9683230746134214
2019-08-28,296,0,1281,398,0,1767,2356,0,7081,0.7685712117763108
2019-08-29,13,20,1073,34,48,1354,139,192,6140,0.9505159214467991
2019-08-30,595,50,1568,225,199,7644,1035,358,66543,0.9685234667655369
2019-08-31,0,0,660,0,0,1857,0,0,7294,1.0
2019-09-01,36,0,2090,600,0,4168,2482,0,17789,0.8852199521443034
2019-09-02,145,0,386,558,0,1018,1930,0,5575,0.7260715771951727
2019-09-03,167,0,1376,605,0,2235,2315,0,16338,0.8659923597846848
2019-09-04,0,0,347,0,0,172,0,0,911,1.0
2019-09-05,262,0,17871,1492,0,5946,6839,0,40286,0.8817954220314735
2019-09-06,369,0,1036,328,0,4434,2094,0,31414,0.929653434152489
2019-09-07,287,0,693,252,0,582,966,0,3315,0.7530762920426579
2019-09-08,0,0,744,0,0,2507,0,0,14225,1.0
2019-09-09,0,0,2748,0,0,5164,0,0,21550,1.0
2019-09-10,68,708,17249,241,365,10354,357,2815,30488,0.9273046532045655
2019-09-11,0,0,7920,0,0,14816,0,0,99102,1.0
2019-09-12,0,0,2870,0,0,4363,0,0,11409,1.0
2019-09-13,0,0,679,0,0,2141,0,0,9862,1.0
2019-09-14,484,0,306,280,0,559,1169,0,1718,0.5719663418954827
2019-09-15,78,0,1218,679,0,754,1934,0,4399,0.7030456852791879
2019-09-16,1169,0,2887,1273,0,10428,12534,0,108873,0.8908168324050042
2019-09-17,428,139,1007,1089,783,6106,4055,4182,35334,0.7990324341622272
2019-09-18,566,0,1302,2613,0,4515,17176,0,28678,0.6288969917958067
2019-09-19,0,0,6721,0,0,15707,0,0,110148,1.0
2019-09-20,61,1802,2910,220,1849,5864,1135,7179,29019,0.7552708887068087
2019-09-21,0,0,1803,0,0,2038,0,0,9463,1.0
2019-09-22,128,0,2831,356,0,4473,1016,0,9351,0.9173781327458
2019-09-23,106,0,8273,164,0,12864,712,0,175423,0.9950289052454668
2019-09-24,508,206,3080,3272,1369,7416,32256,9024,64628,0.6169892985323466
2019-09-25,36,115,649,404,626,878,882,3707,3850,0.4823719386381986
2019-09-26,494,0,3329,5809,0,6635,44624,0,73462,0.6209463130707912
2019-09-27,619,62,5499,103,286,7536,837,1656,21785,0.9071724461350077
2019-09-28,0,0,5870,0,0,8368,0,0,22642,1.0
2019-09-29,5314,22,34564,2514,191,20333,10332,2306,178355,0.9185644919289099
2019-09-30,37,0,11378,50,0,8486,125,0,22265,0.994993032757847
2019-09-31,0,0,38279,0,0,9710,0,0,128564,1.0
2019-10-01,0,0,162,0,0,457,0,0,1282,1.0
