date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2,r
2019-03-18,0,0,0,0,0,0,0,0,0,0
2019-03-19,0,0,174,0,0,205,0,0,295,1.0
2019-03-20,513,0,1755,377,0,802,893,0,2392,0.7351455733808675
2019-03-21,0,0,187,0,0,114,0,0,314,1.0
2019-03-22,0,0,0,0,0,0,0,0,0,0
2019-03-23,0,0,0,0,0,0,0,0,0,0
2019-03-24,0,0,0,0,0,0,0,0,0,0
2019-03-25,0,0,0,0,0,0,0,0,0,0
2019-03-26,0,0,0,0,0,0,0,0,0,0
2019-03-27,0,0,0,0,0,0,0,0,0,0
2019-03-28,0,0,0,0,0,0,0,0,0,0
2019-03-29,0,0,122,0,0,167,0,0,393,1.0
2019-03-30,0,0,0,0,0,0,0,0,0,0
2019-03-31,116,0,0,160,0,0,237,0,0,0.0
2019-04-01,123,0,196,286,0,82,267,0,672,0.5842558425584256
2019-04-02,0,0,0,0,0,0,0,0,0,0
2019-04-03,200,0,442,276,0,269,245,0,432,0.6131974248927039
2019-04-04,541,0,387,619,0,268,972,0,295,0.3082414016872161
2019-04-05,696,0,423,1056,0,76,1710,0,850,0.2803990854292247
2019-04-06,0,84,0,0,49,0,0,218,0,0.0
2019-04-07,146,0,0,273,0,0,600,0,0,0.0
2019-04-08,0,0,0,0,0,0,0,0,0,0
2019-04-09,59,0,0,115,0,0,136,0,0,0.0
2019-04-10,0,0,0,0,0,0,0,0,0,0
2019-04-11,0,0,0,0,0,0,0,0,0,0
2019-04-12,0,0,0,0,0,0,0,0,0,0
2019-04-13,0,0,0,0,0,0,0,0,0,0
2019-04-14,0,0,0,0,0,0,0,0,0,0
2019-04-15,378,71,323,481,45,770,597,251,1934,0.6241237113402062
2019-04-16,0,148,112,0,206,114,0,265,706,0.600902643455835
2019-04-17,0,0,0,0,0,0,0,0,0,0
2019-04-18,119,0,568,12,0,423,391,0,561,0.7483124397299904
2019-04-19,25,0,29,37,0,60,97,0,62,0.4870967741935484
2019-04-20,0,0,0,0,0,0,0,0,0,0
2019-04-21,0,0,71,0,0,193,0,0,137,1.0
2019-04-22,0,0,0,0,0,0,0,0,0,0
2019-04-23,0,108,84,0,55,9,0,172,11,0.23690205011389523
2019-04-24,0,0,0,0,0,0,0,0,0,0
2019-04-25,0,0,348,0,0,415,0,0,818,1.0
2019-04-26,136,0,0,254,0,0,479,0,0,0.0
2019-04-28,0,0,152,0,0,225,0,0,672,1.0
2019-04-29,210,0,0,747,0,0,514,0,0,0.0
2019-04-30,243,0,76,56,0,12,159,0,165,0.3558368495077356
2019-05-01,0,0,0,0,0,0,0,0,0,0
2019-05-02,0,131,11,0,90,13,0,389,32,0.08408408408408409
2019-05-03,38,0,0,44,0,0,99,0,0,0.0
2019-05-04,260,106,69,222,80,0,395,111,53,0.0941358024691358
2019-05-05,0,0,29,0,0,36,0,0,168,1.0
2019-05-06,0,0,235,0,0,777,0,0,873,1.0
2019-05-07,0,0,269,0,0,410,0,0,1334,1.0
2019-05-08,20,0,86,0,0,90,38,0,169,0.8560794044665012
2019-05-09,0,0,0,0,0,0,0,0,0,0
2019-05-10,0,0,0,0,0,0,0,0,0,0
2019-05-11,0,0,0,0,0,0,0,0,0,0
2019-05-12,0,0,51,0,0,18,0,0,87,1.0
2019-05-13,0,0,0,0,0,0,0,0,0,0
2019-05-14,0,0,0,0,0,0,0,0,0,0
2019-05-15,371,0,0,241,0,0,1244,0,0,0.0
2019-05-16,0,0,0,0,0,0,0,0,0,0
2019-05-17,0,0,0,0,0,0,0,0,0,0
2019-05-18,0,0,0,0,0,0,0,0,0,0
2019-05-19,184,329,4265,519,225,7791,717,1690,25970,0.9121132165987047
2019-05-20,4791,0,767,7959,0,1488,30192,0,4135,0.12953052785210412
2019-05-21,10102,2700,73251,4451,1601,28903,38124,10409,455833,0.8922452804241942
2019-05-22,1304,0,11582,2197,0,6819,7401,0,64064,0.8832349759551019
2019-05-23,666,0,3424,880,0,3407,2844,0,26838,0.8846527759531254
2019-05-24,370,636,478,897,695,584,2677,3853,2189,0.26262218272881493
2019-05-25,0,0,1143,0,0,3875,0,0,7665,1.0
2019-05-26,9050,0,61040,4052,0,20774,26758,0,739793,0.9537300906476974
2019-05-27,29405,5259,13824,7529,1384,4183,53090,11246,41932,0.35709434501823034
2019-05-28,0,0,396,0,0,640,0,0,2557,1.0
2019-05-29,0,0,593,0,0,437,0,0,1135,1.0
2019-05-30,185,0,503,452,0,776,4669,0,7771,0.6303984396767902
2019-05-31,0,0,0,0,0,0,0,0,0,0
2019-06-01,82,0,0,165,0,0,3308,0,0,0.0
2019-06-02,45,0,19,98,0,24,741,0,170,0.19416590701914313
2019-06-03,0,0,592,0,0,304,0,0,2708,1.0
2019-06-04,0,0,0,0,0,0,0,0,0,0
2019-06-05,0,0,340,0,0,101,0,0,965,1.0
2019-06-06,0,0,490,0,0,204,0,0,3076,1.0
2019-06-07,0,0,1457,0,0,524,0,0,4148,1.0
2019-06-08,310,0,141,93,0,109,2291,0,1617,0.4093400570050428
2019-06-09,748,0,85,1029,0,88,5525,0,474,0.08139388602339917
2019-06-10,0,0,0,0,0,0,0,0,0,0
2019-06-11,0,0,258,0,0,27,0,0,359,1.0
2019-06-12,0,0,410,0,0,332,0,0,5862,1.0
2019-06-13,0,0,181,0,0,200,0,0,2877,1.0
2019-06-14,1059,0,145,0,0,40,2487,0,167,0.09030271934325294
2019-06-15,0,0,244,0,0,40,0,0,362,1.0
2019-06-16,1721,0,76,328,0,14,3828,0,141,0.03781925343811395
2019-06-17,163,81,4736,223,86,6899,1482,498,60397,0.9660296385703748
2019-06-18,0,0,2918,0,0,3229,0,0,43194,1.0
2019-06-19,0,0,440,0,0,884,0,0,7830,1.0
2019-06-20,718,0,441,1066,0,565,10676,0,3477,0.26459304727616123
2019-06-21,0,0,0,0,0,0,0,0,0,0
2019-06-22,0,0,1369,0,0,592,0,0,3935,1.0
2019-06-23,0,0,138,0,0,137,0,0,832,1.0
2019-06-24,0,221,0,0,148,0,0,1427,0,0.0
2019-06-25,0,0,0,0,0,0,0,0,0,0
2019-06-26,0,0,111,0,0,229,0,0,1949,1.0
2019-06-27,0,0,4720,0,0,11387,0,0,304534,1.0
2019-06-28,27,0,4290,34,0,2486,3393,0,45807,0.9383621535771008
2019-06-29,146,0,0,93,0,0,682,0,0,0.0
2019-06-30,11,0,1183,41,0,1308,234,0,4389,0.9600893106335473
2019-07-01,0,0,1004,0,0,281,0,0,2284,1.0
2019-07-02,0,0,391,0,0,204,0,0,1694,1.0
2019-07-03,0,0,77,0,0,122,0,0,658,1.0
2019-07-04,21,0,22,10,0,24,77,0,168,0.6645962732919255
2019-07-05,109,0,573,120,0,950,1066,0,3756,0.8030118649224217
2019-07-06,489,0,1213,773,0,1792,3957,0,10147,0.7159109466006205
2019-07-07,1938,0,475,1758,0,794,8672,0,2877,0.25105970691534457
2019-07-08,1463,0,204,1047,0,1033,15353,0,6891,0.3127236351044592
2019-07-09,481,372,4209,1520,206,1262,8884,1103,10867,0.565250484362026
2019-07-10,849,0,0,1439,0,0,10169,0,0,0.0
2019-07-11,82,0,0,65,0,0,320,0,0,0.0
2019-07-12,51,0,0,197,0,0,850,0,0,0.0
2019-07-13,0,0,0,0,0,0,0,0,0,0
2019-07-14,0,0,98,0,0,104,0,0,714,1.0
2019-07-15,0,0,0,0,0,0,0,0,0,0
2019-07-16,0,0,0,0,0,0,0,0,0,0
2019-07-17,0,0,53,0,0,137,0,0,565,1.0
2019-07-18,0,0,0,0,0,0,0,0,0,0
2019-07-19,0,0,125,0,0,420,0,0,2398,1.0
2019-07-20,121,0,134,237,0,327,903,0,1436,0.6006966434452184
2019-07-21,256,0,320,258,0,690,1851,0,2192,0.5751751392132207
2019-07-22,0,0,151,0,0,468,0,0,1417,1.0
2019-07-23,24,0,2617,0,0,1550,3716,0,23417,0.880602732728898
2019-07-24,50,0,0,118,0,0,1530,0,0,0.0
2019-07-25,48,0,9261,23,0,4716,238,0,67711,0.9962315694476627
2019-07-26,340,315,53,1277,778,17,4898,4117,188,0.021530501543853792
2019-07-27,0,0,0,0,0,0,0,0,0,0
2019-07-28,0,0,280,0,0,151,0,0,597,1.0
2019-07-29,160,0,0,244,0,0,661,0,0,0.0
2019-07-30,0,0,583,0,0,826,0,0,10017,1.0
2019-07-31,0,0,0,0,0,0,0,0,0,0
2019-08-01,33,0,0,30,0,0,208,0,0,0.0
