date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2,r
2019-03-05,33,0,273,331,0,594,331,0,3207,0.8542671419584819
2019-03-06,99,5,57,768,7,84,1556,56,264,0.13984806629834254
2019-03-07,0,0,280,0,0,204,0,0,1199,1.0
2019-03-08,219,106,13191,402,104,10440,2387,431,6989,0.89351892380869
2019-03-09,41,4,96,158,26,344,127,69,723,0.732367758186398
2019-03-10,198,0,144,500,0,138,531,0,180,0.2732111176818451
2019-03-11,33,0,3158,58,0,3726,240,0,2872,0.9671854862694558
2019-03-12,831,198,132,3039,278,368,3591,145,765,0.13533754145715202
2019-03-13,1600,455,158,1327,441,407,1216,1605,881,0.17873918417799753
2019-03-14,128,118,871,891,163,230,549,337,598,0.43732303732303734
2019-03-15,32,126,4932,397,589,5757,381,212,17572,0.9420961397426495
2019-03-16,6,0,88,137,0,563,126,0,854,0.8483652762119503
2019-03-17,80,6,2028,211,276,1072,328,229,2443,0.8306608721714371
2019-03-18,11393,0,182,3648,0,359,3412,0,691,0.06258572517145035
2019-03-19,6639,0,23730,4760,0,27433,1784,0,11174,0.825436970338983
2019-03-20,0,19,3897,0,442,4936,0,138,2958,0.9516545601291364
2019-03-21,0,0,53,0,0,389,0,0,591,1.0
2019-03-22,383,0,363,248,0,2328,1296,0,2818,0.7408552985476062
2019-03-23,38,0,7382,506,0,615,236,0,749,0.9181188326684863
2019-03-24,25,0,903,102,0,1074,137,0,1094,0.9208395802098951
2019-03-25,346,0,319,446,0,1015,732,0,1410,0.6429240862230553
2019-03-26,0,0,14687,0,0,30993,0,0,140469,1.0
2019-03-27,58,0,9876,157,0,5405,127,0,9605,0.9864436340573965
2019-03-28,491,0,4303,1207,0,5833,2277,0,6108,0.8034027399970325
2019-03-29,116,0,346,1041,0,489,642,0,566,0.4378125
2019-03-30,275,0,2466,1839,0,1519,1807,0,1774,0.5949380165289256
2019-03-31,280,17,472,337,385,641,593,284,3023,0.6856763925729443
2019-04-01,15,0,240,118,0,1712,951,0,5462,0.8724405742527653
2019-04-02,159,0,160547,511,0,6783,1876,0,10437,0.9858801084780354
2019-04-03,32,0,265,51,0,1672,106,0,2831,0.9618721000605205
2019-04-04,28,0,37,96,0,107,531,0,523,0.5045385779122542
2019-04-05,70,17,1255,132,482,2130,105,489,3915,0.8493310063990692
2019-04-06,0,0,595,0,0,1882,0,0,1790,1.0
2019-04-07,245,21,13,1522,143,65,942,134,93,0.05380742605412209
2019-04-08,0,0,161,0,0,1805,0,0,6172,1.0
2019-04-09,681,0,6743,4259,0,3864,7706,0,2980,0.5179354248465673
2019-04-10,590,0,756,984,0,1768,1148,0,1116,0.5721471235460547
2019-04-11,0,0,132541,0,0,20038,0,0,72990,1.0
2019-04-12,77,83,1393,902,254,1737,1463,281,2093,0.6305686345526983
2019-04-13,425,20,22362,4561,158,10510,4277,640,5926,0.7937560097383335
2019-04-14,327,0,312,1018,0,862,1695,0,1740,0.48941887806516626
2019-04-15,319,0,5388,1817,0,5692,1883,0,4213,0.7918910521955261
2019-04-16,44,0,3467,670,0,8401,495,0,2606,0.9229101574953772
2019-04-17,229,0,1300,778,0,2130,451,0,4798,0.8494734668593846
2019-04-18,1267,0,610,2780,0,836,3450,0,1498,0.2819653289914759
