date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2,r
2019-02-08,1276,49,1488,876,38,4144,1344,112,9086,0.7993265627545756
2019-02-09,203,3,1163,353,29,1768,777,56,5842,0.8606042770257014
2019-02-10,139,10,630,772,53,2952,549,38,3974,0.8287813973894922
2019-02-11,4397,28,135531,11992,1034,197177,9906,219,251744,0.9549432378910768
2019-02-12,2797,0,1289,3037,0,2400,11597,0,3845,0.3017824954936912
2019-02-13,1499,39,28244,1664,591,194450,8956,1040,235022,0.9707553472391597
2019-02-14,671,0,5953,2316,0,7727,4681,0,13080,0.7772743116068317
2019-02-15,636,0,4569,869,0,3514,2291,0,7690,0.8060197250753743
2019-02-16,805,85,1080,1683,216,1410,3499,239,2402,0.4284087923636045
2019-02-17,726,14,1267,1104,17,1454,1270,23,2078,0.603420093046649
2019-02-18,293,644,1378,316,303,2729,581,695,9611,0.8288821752265861
2019-02-19,491,147,22706,680,628,16080,2774,507,26238,0.9255953651905311
2019-02-20,1682,618,2318,6415,1135,4129,6122,1513,6978,0.43432546101585245
2019-02-21,503,3335,1267,554,1884,3918,1542,10763,7473,0.40519862991773103
2019-02-22,919,26,1452,1061,7,2270,2464,62,4150,0.6342760454435581
2019-02-27,578,242,2000,521,600,5358,1957,638,5484,0.7389803199447578
2019-02-28,1771,0,3290,3335,0,2563,2283,0,8503,0.6601977466084157
2019-03-01,1786,34,1509,2291,284,1977,2063,399,4059,0.52388557144841
2019-03-02,1606,0,30183,3519,0,7285,4272,0,10276,0.8355471552825466
2019-03-03,472,159,626,584,316,1218,1760,57,1612,0.5079365079365079
2019-03-04,2305,873,3494,5068,1012,5997,7143,5324,22212,0.593378004042824
2019-03-05,130,19,1759,785,31,3481,702,56,7688,0.8823971059995904
2019-03-06,534,0,110459,1693,0,7639,5069,0,19992,0.9498163509553877
2019-03-07,11261,46496,81399,11140,37717,57171,55098,187097,320605,0.5682971444979108
2019-03-08,1777,301,14315,1516,810,12005,4645,1766,11840,0.7791730474732006
2019-03-09,1191,589,1176,1437,710,2143,2040,3549,5112,0.4697721067587898
2019-03-10,3172,199,1362,4155,398,1391,9546,815,1432,0.1862483311081442
2019-03-11,321,0,4893,475,0,9919,875,0,15266,0.9473684210526315
2019-03-12,2586,198,1148,6706,278,2315,13803,145,4420,0.24946991993417514
2019-03-13,1934,508,98278,2786,1131,39628,4484,2127,75232,0.9426380313832328
2019-03-14,1053,118,7587,6995,163,3607,10639,337,7572,0.4929211210632765
2019-03-15,392,331,20883,805,1766,8900,994,1529,24421,0.9030839206277803
2019-03-16,7246,256,2080,2173,658,2991,32400,2309,9563,0.24522421073798512
2019-03-17,233,6,3688,1018,276,3150,1013,229,5889,0.8209908398916269
2019-03-18,11436,199,948,4195,172,1478,3649,1087,3592,0.22492151293167886
2019-03-19,6639,97,38798,4760,696,39050,1784,1091,40309,0.8869047619047619
2019-03-20,513,310,15590,377,644,11664,893,826,26343,0.937666200139958
2019-03-21,8863,123,2415,1650,1113,3169,5444,1088,6287,0.39370522685062354
2019-03-22,569,0,9188,1305,0,7820,2968,0,9263,0.8443737344518368
2019-03-23,495,186,8432,3024,295,2731,1836,778,5568,0.7166845148854144
2019-03-24,1351,38,1753,2528,260,4650,5507,401,5049,0.5317360820912848
2019-03-25,346,2885,4499,446,3446,5478,732,1820,12695,0.7008996197483538
2019-03-26,48,0,63913,147,0,42845,240,0,165794,0.9984065175264756
2019-03-27,2687,0,23349,4796,0,37815,9809,0,38933,0.852694886232952
