date,trans0,trans2,comm0,comm2,zan0,zan2,r
2019-03-12,1854,300,3720,628,6726,2328,0.20930830547698637
2019-03-13,0,328,0,640,0,1477,1.0
2019-03-14,182,101,1038,42,696,133,0.1259124087591241
2019-03-15,0,0,0,0,0,0,0
2019-03-16,6779,1617,1077,1505,31812,6423,0.19395281734501046
2019-03-17,0,612,0,147,0,813,1.0
2019-03-18,11146,300,3285,368,2348,1107,0.09566670259782258
2019-03-19,6600,9042,4630,10162,1666,7497,0.6743187615223375
2019-03-20,513,6983,377,2112,893,2079,0.8623909855676468
2019-03-21,8406,480,780,694,2424,1157,0.1672046481601033
2019-03-22,0,118,0,56,0,275,1.0
2019-03-23,248,100,45,76,219,240,0.4482758620689655
2019-03-24,0,160,0,70,0,73,1.0
2019-03-25,0,241,0,504,0,733,1.0
2019-03-26,0,1864,0,2227,0,5347,1.0
2019-03-27,58,335,157,1724,127,2310,0.9274039482063257
2019-03-28,133,3772,206,4292,510,1241,0.9163876304904471
2019-03-29,210,205,373,430,378,329,0.5007792207792208
2019-03-30,911,292,627,519,788,958,0.431990231990232
2019-03-31,142,105,198,70,380,199,0.34186471663619744
2019-04-01,123,149,286,435,267,3161,0.8470934177787831
2019-04-02,182,3441,113,3470,121,7682,0.9722832966886534
2019-04-03,0,552,0,561,0,3464,1.0
2019-04-04,270,164,1269,503,2428,854,0.2771501457725947
2019-04-05,17,775,482,369,489,1132,0.6973039215686274
2019-04-06,108,349,126,362,434,584,0.6597045338767193
2019-04-07,0,24,0,10,0,86,1.0
2019-04-08,43,967,56,678,290,836,0.8644599303135888
2019-04-09,90,2061,566,1307,742,1678,0.7830540037243948
2019-04-10,0,643,0,423,0,408,1.0
2019-04-11,0,10105,0,9201,0,8676,1.0
2019-04-12,0,218,0,537,0,517,1.0
2019-04-13,0,0,0,0,0,0,0
2019-04-14,0,11,0,23,0,171,1.0
2019-04-15,67,54,67,218,320,1142,0.7569593147751607
2019-04-16,0,9433,0,4588,0,26638,1.0
2019-04-17,274,2780,463,2618,654,8722,0.9103217071755528
2019-04-18,667,899,1686,976,932,843,0.4527736131934033
2019-04-19,0,223,0,196,0,775,1.0
2019-04-20,0,256,0,747,0,600,1.0
2019-04-21,0,1708,0,587,0,1854,1.0
2019-04-22,58,3791,200,3971,68,2244,0.9684475416182733
2019-04-23,144,2199,166,880,317,2588,0.9003813155386082
2019-04-24,178,14503,126,14377,617,7140,0.9750683522373514
2019-04-25,0,254,0,307,0,580,1.0
2019-04-26,0,142,0,183,0,491,1.0
2019-04-28,0,0,0,0,0,0,0
2019-04-29,0,9130,0,13601,0,4512,1.0
2019-04-30,0,104,0,48,0,210,1.0
2019-05-01,0,2973,0,1195,0,1051,1.0
2019-05-02,423,45,737,21,1834,196,0.08046683046683047
2019-05-03,115,1730,160,877,330,6776,0.9394273127753304
2019-05-04,43,636,65,467,93,1389,0.9253620497586335
2019-05-05,238,1503,806,1163,697,5419,0.8228170160797883
2019-05-06,88,540,73,1152,207,2196,0.9135338345864662
2019-05-07,0,175,0,503,0,576,1.0
