date,trans0,trans2,comm0,comm2,zan0,zan2,r
2019-03-08,190,998,245,1019,1033,4389,0.8135636271272543
2019-03-09,438,145,405,110,3453,183,0.09252217997465145
2019-03-10,98,0,325,0,591,0,0.0
2019-03-11,23,1104,31,2861,75,7258,0.9886363636363636
2019-03-12,912,367,665,928,3761,1411,0.3363998010939831
2019-03-13,678,71,644,87,2174,468,0.15186802523047063
2019-03-14,961,871,2177,230,3152,598,0.2126674176993366
2019-03-15,335,15329,631,2606,515,5416,0.9403592139175257
2019-03-16,6594,62,935,385,31795,721,0.028845203990911786
2019-03-17,0,2283,0,1889,0,3552,1.0
2019-03-18,61,100,234,169,741,466,0.4150197628458498
2019-03-19,0,10461,0,3795,0,19469,1.0
2019-03-20,291,10195,202,6600,688,22798,0.9710354637759356
2019-03-21,8582,647,1016,920,3241,2682,0.24865402621722846
2019-03-22,68,7718,307,3657,773,3816,0.9297386620968235
2019-03-23,0,7638,0,1033,0,2990,1.0
2019-03-24,0,550,0,511,0,2161,1.0
2019-03-25,5594,2447,9031,3014,6054,8353,0.4004870553445627
2019-03-26,0,55908,0,17497,0,29556,1.0
2019-03-27,2371,14903,3325,12243,6301,20192,0.7978090503075757
2019-03-28,0,250,0,345,0,2165,1.0
2019-03-29,250,301,248,110,253,407,0.521351179094965
2019-03-30,391,892,933,1256,1184,2245,0.6365744095058687
2019-03-31,364,735,590,1132,1054,2650,0.6922605363984674
2019-04-01,355,249,829,742,2567,2334,0.4698982475975127
2019-04-02,0,3412,0,2496,0,5370,1.0
2019-04-03,169,2373,257,2227,153,7666,0.9549240949785909
2019-04-04,72,502,294,735,121,1153,0.8307264511644074
2019-04-05,0,579,0,903,0,2058,1.0
2019-04-06,120,62,172,172,855,595,0.41953441295546556
2019-04-07,564,1287,385,509,1135,2480,0.6723270440251572
2019-04-08,18,111,39,191,162,459,0.7765306122448979
2019-04-09,0,156,0,632,0,1080,1.0
2019-04-10,4380,760,700,667,424,2679,0.4272632674297607
2019-04-11,0,34820,0,18363,0,32467,1.0
2019-04-12,106,2892,88,1857,147,9473,0.976584494952963
2019-04-13,885,243,3503,1737,4922,2533,0.32648484410041234
2019-04-14,196,198,881,204,1545,637,0.2838022398251844
2019-04-15,228,296,706,795,632,1927,0.6583769633507853
2019-04-16,216,13084,145,13798,468,29837,0.9855946340446237
2019-04-17,1320,4067,3505,4441,3889,15625,0.7347094102962218
2019-04-18,20,868,50,1413,50,2460,0.9753137214564904
2019-04-19,157,1486,274,1649,459,2597,0.8655995167623075
2019-04-20,90,390,103,2201,233,2061,0.9161087042142576
2019-04-21,30,2078,676,863,408,4577,0.8709453197405005
2019-04-22,0,5520,0,6594,0,6605,1.0
2019-04-23,122,5981,149,4878,232,12055,0.9785198787205877
2019-04-24,21,191,109,177,70,649,0.8356614626129828
2019-04-25,63,1916,59,2119,454,4693,0.938091143594153
2019-04-26,0,104,0,131,0,406,1.0
2019-04-28,19,508,187,1176,98,3472,0.9443223443223443
2019-04-29,574,3683,831,3090,685,7249,0.8702830188679245
2019-04-30,1550,9722,2245,4150,582,13311,0.8613117870722433
2019-05-01,65,3190,718,1614,559,3121,0.8551850652854214
2019-05-02,648,530,1097,396,5132,386,0.16021492245695446
2019-05-03,204,1721,389,868,1598,6748,0.809941013185288
2019-05-04,0,248,0,70,0,972,1.0
2019-05-05,27,1288,16,575,29,4713,0.9891696750902527
2019-05-06,110,15252,16,7370,112,15237,0.9937527889335118
2019-05-07,71,2808,52,3765,105,8096,0.9846949050144325
2019-05-08,0,5814,0,2792,0,5260,1.0
2019-05-09,1138,589,984,782,7537,3059,0.3144296969266804
2019-05-10,111,562,74,1138,64,4525,0.9615384615384616
2019-05-11,0,391,0,601,0,1134,1.0
2019-05-12,0,19,0,9,0,110,1.0
2019-05-13,87,4982,59,3667,50,34460,0.9954739637455259
2019-05-14,0,5716,0,6500,0,6478,1.0
2019-05-15,28,601,8,540,63,1148,0.9585427135678392
2019-05-16,603,4264,942,3846,3590,11637,0.7936259143155695
2019-05-17,107,665,83,954,533,5944,0.9127443881245474
2019-05-18,0,356,0,456,0,2013,1.0
2019-05-19,117,782,211,239,132,1811,0.8602673147023087
2019-05-20,2022,318,2643,1002,8086,1255,0.16801513767454
2019-05-21,11153,6569,6104,4312,41506,17998,0.329510965062413
2019-05-22,0,7628,0,8069,0,48246,1.0
2019-05-23,1831,23173,3868,24898,3026,108641,0.9472608908527113
2019-05-24,1324,20499,2027,5484,7133,32928,0.8489228330571367
2019-05-25,13265,5765,6047,6402,69643,21306,0.27340967752474926
2019-05-26,8470,3943,4072,3317,25978,11865,0.3317720530835285
2019-05-27,29213,9709,7298,2836,53743,20514,0.2680901445914056
2019-05-28,1718,82662,3884,15009,6464,226983,0.9641660727013542
2019-05-29,928,4721,1776,4451,2912,20203,0.8395015861221456
2019-05-30,91,3305,122,2303,296,28637,0.9853542038326524
2019-05-31,75,19397,28,8565,114,266721,0.9992641573414717
2019-06-01,103,42270,119,13736,2792,228895,0.9895316325998993
2019-06-02,510,17738,396,6951,4706,69271,0.9436387739525167
2019-06-03,0,2811,0,906,0,8891,1.0
2019-06-04,1063,3293,1187,1741,17735,11120,0.4469963197653504
2019-06-05,126,2901,188,1018,1316,9939,0.8947572314049587
2019-06-06,349,13935,270,4622,2724,85001,0.9687280755091159
2019-06-07,852,487,414,6,2310,140,0.150392017106201
2019-06-08,0,2608,0,977,0,13697,1.0
2019-06-09,259,4170,164,3746,745,49048,0.9799077960503682
2019-06-10,0,8219,0,6225,0,60550,1.0
2019-06-11,61,35160,47,15902,374,361793,0.9988338813123432
2019-06-12,581,5688,412,1528,3392,15608,0.83884008967621
2019-06-13,224,1182,119,1083,947,20124,0.9455213480299
2019-06-14,0,67208,0,16892,0,66779,1.0
2019-06-15,18,2752,131,1768,1405,18965,0.9379368185630417
2019-06-16,446,802,2144,3141,10856,19574,0.6362308254200146
2019-06-17,9736,10830,2554,10956,20814,9602,0.4866960243130931
2019-06-18,0,10936,0,8601,0,51072,1.0
2019-06-19,0,10457,0,3148,0,27028,1.0
2019-06-20,1984,18036,2057,4185,20702,37423,0.7067913304181924
2019-06-21,3980,26312,2090,5918,29453,83601,0.765298571560712
2019-06-22,0,3401,0,1873,0,12956,1.0
2019-06-23,628,4310,1311,4040,8063,39993,0.8285714285714286
2019-06-24,89,702,206,515,739,3834,0.8300739523418241
2019-06-25,58,5716,122,5409,1263,37609,0.9712418040137912
2019-06-26,3211,2469,2266,2333,20943,10158,0.36152730787820203
2019-06-27,10338,690,2446,1322,35031,7406,0.1645554138346758
2019-06-28,270,8833,178,7237,2965,104124,0.9723882951612772
2019-06-29,186,2349,189,2943,3727,31034,0.8985356683486693
2019-06-30,124,2255,155,2070,777,9613,0.9295718287314926
2019-07-01,59,1319,32,528,393,3350,0.9148037317373702
2019-07-02,0,230,0,65,0,423,1.0
2019-07-03,0,209,0,315,0,1832,1.0
2019-07-04,0,191,0,256,0,1032,1.0
2019-07-05,126,360,131,82,1096,234,0.33316904879250864
2019-07-06,140,764,71,796,422,7546,0.9350035937981312
2019-07-07,0,857,0,302,0,2598,1.0
2019-07-08,0,0,0,0,0,0,0
2019-07-09,1816,5788,1357,9213,8172,20934,0.7600465313028765
2019-07-10,104,32,97,51,712,300,0.29552469135802467
2019-07-11,133,1130,69,797,424,4231,0.9077240566037735
2019-07-12,0,63,0,26,0,357,1.0
2019-07-13,7,78,117,112,730,2010,0.7203667321545514
2019-07-14,0,1418,0,1397,0,4037,1.0
2019-07-15,120,2668,602,1848,1904,8896,0.8362638733009103
2019-07-16,0,1741,0,1912,0,4446,1.0
2019-07-17,147,3021,196,4388,1017,43824,0.9741410453862681
2019-07-18,588,2690,313,1745,1246,8878,0.8611254851228978
2019-07-19,742,5918,476,2691,549,11118,0.9177910114450545
2019-07-20,0,253,0,32,0,313,1.0
2019-07-21,161,1231,688,891,2132,4063,0.6747763473707179
2019-07-22,82,1375,35,2049,98,14644,0.9882404419406006
2019-07-23,0,3704,0,4075,0,29747,1.0
2019-07-24,50,1040,118,2995,1530,6874,0.865312921392877
2019-07-25,127,392,256,984,983,4724,0.8170372354674524
2019-07-26,2791,1350,8658,879,140230,4913,0.044968864318950266
2019-07-27,379,2628,931,2417,4042,12304,0.7642394608167041
2019-07-28,861,525,258,226,352,953,0.5366929133858268
2019-07-29,0,209,0,278,0,2058,1.0
2019-07-30,963,97,1938,298,22644,1659,0.07442298634008479
2019-07-31,66,39,124,229,1254,414,0.32079021636876764
2019-08-01,95,803,394,590,1347,4028,0.7470028937577511
2019-08-02,0,24,0,61,0,389,1.0
2019-08-03,0,881,0,783,0,10652,1.0
2019-08-04,8,478,188,588,238,2092,0.8791759465478842
2019-08-05,0,6414,0,2674,0,12510,1.0
2019-08-06,0,8078,0,3360,0,27571,1.0
2019-08-07,43,483,79,990,541,2686,0.8625051845707176
2019-08-08,0,1148,0,1639,0,8999,1.0
2019-08-09,0,61464,0,32294,0,612525,1.0
2019-08-10,0,3944,0,4068,0,40579,1.0
2019-08-11,143,847,553,356,3864,6503,0.6282406652535464
2019-08-12,91,1509,508,1935,1619,11207,0.8685162131720908
2019-08-13,0,1530,0,1748,0,10843,1.0
2019-08-14,0,379,0,1110,0,4427,1.0
2019-08-15,0,2938,0,1649,0,6860,1.0
2019-08-16,0,17482,0,8195,0,31171,1.0
2019-08-17,2801,8654,1613,2122,24444,49491,0.6762075736325386
2019-08-18,787,1483,1176,2033,22806,26781,0.5501943122798096
2019-08-19,178,23352,367,11992,3598,126157,0.9749885296177344
2019-08-20,0,2057,0,2086,0,2209,1.0
2019-08-21,81,2694,212,895,1234,42786,0.9681224166005594
2019-08-22,187,7338,243,12658,5091,163712,0.9708237109533951
2019-08-23,333,66289,460,3002,5117,77813,0.9613760832342139
2019-08-24,40,8688,324,3064,736,11222,0.9543075517155437
2019-08-25,67,1763,144,388,1183,4708,0.8310917242214952
2019-08-26,0,1880,0,2792,0,6229,1.0
2019-08-27,54,2834,38,586,119,3030,0.9683230746134214
2019-08-28,296,1281,398,1767,2356,7081,0.7685712117763108
2019-08-29,33,1073,82,1354,331,6140,0.9505159214467991
2019-08-30,645,1568,424,7644,1393,66543,0.9685234667655369
2019-08-31,0,660,0,1857,0,7294,1.0
2019-09-01,36,2090,600,4168,2482,17789,0.8852199521443034
2019-09-02,145,386,558,1018,1930,5575,0.7260715771951727
2019-09-03,167,1376,605,2235,2315,16338,0.8659923597846848
2019-09-04,0,347,0,172,0,911,1.0
2019-09-05,262,17871,1492,5946,6839,40286,0.8817954220314735
2019-09-06,369,1036,328,4434,2094,31414,0.929653434152489
2019-09-07,287,693,252,582,966,3315,0.7530762920426579
2019-09-08,0,744,0,2507,0,14225,1.0
2019-09-09,0,2748,0,5164,0,21550,1.0
2019-09-10,776,17249,606,10354,3172,30488,0.9273046532045655
2019-09-11,0,7920,0,14816,0,99102,1.0
2019-09-12,0,2870,0,4363,0,11409,1.0
2019-09-13,0,679,0,2141,0,9862,1.0
2019-09-14,484,306,280,559,1169,1718,0.5719663418954827
2019-09-15,78,1218,679,754,1934,4399,0.7030456852791879
2019-09-16,1169,2887,1273,10428,12534,108873,0.8908168324050042
2019-09-17,567,1007,1872,6106,8237,35334,0.7990324341622272
2019-09-18,566,1302,2613,4515,17176,28678,0.6288969917958067
2019-09-19,0,6721,0,15707,0,110148,1.0
2019-09-20,1863,2910,2069,5864,8314,29019,0.7552708887068087
2019-09-21,0,1803,0,2038,0,9463,1.0
2019-09-22,128,2831,356,4473,1016,9351,0.9173781327458
2019-09-23,106,8273,164,12864,712,175423,0.9950289052454668
2019-09-24,714,3080,4641,7416,41280,64628,0.6169892985323466
2019-09-25,151,649,1030,878,4589,3850,0.4823719386381986
2019-09-26,494,3329,5809,6635,44624,73462,0.6209463130707912
2019-09-27,681,5499,389,7536,2493,21785,0.9071724461350077
2019-09-28,0,5870,0,8368,0,22642,1.0
2019-09-29,5336,34564,2705,20333,12638,178355,0.9185644919289099
2019-09-30,37,11378,50,8486,125,22265,0.994993032757847
