date,trans0,trans2,comm0,comm2,zan0,zan2,r
2019-03-10,198,144,500,138,531,180,0.2732111176818451
2019-03-11,33,3158,58,3726,240,2872,0.9671854862694558
2019-03-12,1029,132,3317,368,3736,765,0.13533754145715202
2019-03-13,2055,158,1768,407,2821,881,0.17873918417799753
2019-03-14,246,871,1054,230,886,598,0.43732303732303734
2019-03-15,158,4932,986,5757,593,17572,0.9420961397426495
2019-03-16,6,88,137,563,126,854,0.8483652762119503
2019-03-17,86,2028,487,1072,557,2443,0.8306608721714371
2019-03-18,11393,182,3648,359,3412,691,0.06258572517145035
2019-03-19,6639,23730,4760,27433,1784,11174,0.825436970338983
2019-03-20,19,3897,442,4936,138,2958,0.9516545601291364
2019-03-21,0,53,0,389,0,591,1.0
2019-03-22,383,363,248,2328,1296,2818,0.7408552985476062
2019-03-23,38,7382,506,615,236,749,0.9181188326684863
2019-03-24,25,903,102,1074,137,1094,0.9208395802098951
2019-03-25,346,319,446,1015,732,1410,0.6429240862230553
2019-03-26,0,14687,0,30993,0,140469,1.0
2019-03-27,58,9876,157,5405,127,9605,0.9864436340573965
2019-03-28,491,4303,1207,5833,2277,6108,0.8034027399970325
2019-03-29,116,346,1041,489,642,566,0.4378125
2019-03-30,275,2466,1839,1519,1807,1774,0.5949380165289256
2019-03-31,297,472,722,641,877,3023,0.6856763925729443
2019-04-01,15,240,118,1712,951,5462,0.8724405742527653
2019-04-02,159,160547,511,6783,1876,10437,0.9858801084780354
2019-04-03,32,265,51,1672,106,2831,0.9618721000605205
2019-04-04,28,37,96,107,531,523,0.5045385779122542
2019-04-05,87,1255,614,2130,594,3915,0.8493310063990692
2019-04-06,0,595,0,1882,0,1790,1.0
2019-04-07,266,13,1665,65,1076,93,0.05380742605412209
2019-04-08,0,161,0,1805,0,6172,1.0
2019-04-09,681,6743,4259,3864,7706,2980,0.5179354248465673
2019-04-10,590,756,984,1768,1148,1116,0.5721471235460547
2019-04-11,0,132541,0,20038,0,72990,1.0
2019-04-12,160,1393,1156,1737,1744,2093,0.6305686345526983
2019-04-13,445,22362,4719,10510,4917,5926,0.7937560097383335
2019-04-14,327,312,1018,862,1695,1740,0.48941887806516626
2019-04-15,319,5388,1817,5692,1883,4213,0.7918910521955261
2019-04-16,44,3467,670,8401,495,2606,0.9229101574953772
2019-04-17,229,1300,778,2130,451,4798,0.8494734668593846
2019-04-18,1267,610,2780,836,3450,1498,0.2819653289914759
2019-04-19,271,150,278,766,1034,862,0.5290092234454031
2019-04-20,133,502,1748,4284,3395,4159,0.628999367133113
2019-04-21,872,2513,1094,1277,3847,4719,0.5941209328306103
2019-04-22,254,9552,1988,4427,3375,5217,0.7736267279248781
2019-04-23,55,5423,210,4535,313,7926,0.9686924493554327
2019-04-24,408,6017,2403,3960,1332,2341,0.7483141971933661
2019-04-25,76,1756,1183,3150,1795,5230,0.7684609552691433
2019-04-26,68,0,586,0,788,0,0.0
2019-04-28,196,273,1384,1121,755,1726,0.5719523373052245
2019-04-29,402,11163,84,15906,191,7164,0.9806072758521913
2019-04-30,0,733,0,1007,0,430,1.0
2019-05-01,72,2912,2649,1531,2054,1630,0.5598266961651918
2019-05-02,12,1000,68,1030,64,1361,0.9592644978783592
2019-05-03,62,114,272,617,293,538,0.6693037974683544
2019-05-04,682,444,1638,1985,4431,3574,0.47067586639485653
2019-05-05,27,25964,16,12189,29,9479,0.9984906926043937
2019-05-06,5,1195,2,1874,41,2021,0.990657843518879
2019-05-07,71,67,52,193,105,469,0.7617554858934169
2019-05-08,34,604,308,2103,585,3765,0.8747127990268955
2019-05-09,2065,64,2647,77,4533,1029,0.11233797407585214
2019-05-10,447,9684,507,5185,3882,3240,0.7892351274787536
2019-05-11,155,157,149,935,272,2533,0.8628897881456796
2019-05-12,75,1346,591,2719,1288,2119,0.7598918653231752
2019-05-13,209,333,1055,637,1236,517,0.3729621269124655
2019-05-14,0,3622,0,6228,0,5848,1.0
2019-05-15,31,21355,379,23430,694,9432,0.9800437446900815
2019-05-16,3830,1547,4384,1845,2217,5513,0.46053992552751344
2019-05-17,0,262,0,482,0,1525,1.0
2019-05-18,1650,147,743,320,1488,1471,0.3330469152775391
2019-05-19,0,0,0,0,0,0,0
2019-05-20,2362,3562,5042,7865,7308,17043,0.6593024871474226
2019-05-21,1956,20985,807,16942,8223,100508,0.9264761981247616
2019-05-22,0,10988,0,14895,0,68005,1.0
2019-05-23,0,59209,0,72063,0,34663,1.0
2019-05-24,0,124,0,129,0,919,1.0
2019-05-25,0,505,0,3417,0,2913,1.0
2019-05-26,0,3959,0,5666,0,37091,1.0
2019-05-27,2443,0,1009,0,3489,0,0.0
2019-05-28,0,0,0,0,0,0,0
2019-05-29,0,2860,0,4027,0,89814,1.0
2019-05-30,99,824,375,1213,42728,7908,0.1871225092667507
2019-05-31,0,142,0,284,0,939,1.0
2019-06-01,0,1792,0,1452,0,17733,1.0
2019-06-02,4863,2174,1926,1878,26237,22373,0.44448369245260805
2019-06-03,124,84,846,38,2975,384,0.11368231858009437
2019-06-04,1037,2432,2626,1814,92063,9592,0.126300609689314
2019-06-05,0,0,0,0,0,0,0
2019-06-06,20,1929,124,1845,204,948,0.9313609467455621
2019-06-07,176,4411,726,6730,2912,4003,0.7988184407637936
2019-06-08,116,120,690,589,1558,2067,0.5400778210116731
2019-06-09,12,494,469,616,1216,4726,0.7747245453338644
2019-06-10,0,2846,0,3277,0,34197,1.0
2019-06-11,0,630,0,661,0,15559,1.0
2019-06-12,0,1322,0,1101,0,5642,1.0
2019-06-13,41,0,111,0,946,0,0.0
2019-06-14,98,356,780,666,2871,2928,0.5130536433303027
2019-06-15,57,75,255,55,1720,927,0.3421819359015863
2019-06-16,280,278,1320,2964,7355,16774,0.6908977943460702
2019-06-17,111,9509,674,10877,1695,10709,0.9261355174981385
2019-06-18,0,363,0,681,0,9535,1.0
2019-06-19,0,693,0,577,0,12025,1.0
2019-06-20,426,7187,617,1483,7219,25885,0.8070392601069668
2019-06-21,0,9651,0,2324,0,65180,1.0
2019-06-22,352,1624,1675,1098,8063,8850,0.5342073677407442
2019-06-23,1741,1306,3017,2229,32805,25189,0.43332780183143
2019-06-24,197,208,345,1169,1421,2528,0.6654737559645535
2019-06-25,192,1773,61,4279,823,26496,0.9679990482988342
2019-06-26,0,208,0,619,0,2588,1.0
2019-06-27,17,298,110,876,549,5197,0.9040726550305095
2019-06-28,0,1858,0,3114,0,31895,1.0
2019-06-29,0,140,0,130,0,1779,1.0
2019-06-30,272,378,584,726,6216,4719,0.4515703761147732
2019-07-01,0,880,0,187,0,1733,1.0
2019-07-02,348,1314,1662,1992,5414,13172,0.6893983767048782
2019-07-03,474,45,1330,71,7027,376,0.05277271264614394
2019-07-04,61,316,289,1381,833,4388,0.8372317006053935
2019-07-05,10,131,111,275,526,1993,0.7875902823374918
2019-07-06,276,663,1054,920,4805,4939,0.5152879829343446
2019-07-07,33,323,170,1085,10447,4432,0.3541540327471195
2019-07-08,147591,24,146046,44,120568,178,0.0005935562949540477
2019-07-09,2457,1443,2627,1245,32286,8068,0.22349665461496904
2019-07-10,620,890,266,7899,6503,12288,0.7404271762804749
2019-07-11,441,890,438,2421,2091,9849,0.8158710477371358
2019-07-12,43,1722,37,2359,1297,7192,0.8911462450592885
2019-07-13,872,109,1735,361,15193,365,0.044808156694392275
2019-07-14,713,209,1014,302,12692,15015,0.5184838871263984
2019-07-15,103,2137,299,2510,2583,5227,0.7678668636752469
2019-07-16,35,481,128,1164,745,6584,0.9006238371456714
2019-07-17,0,4111,0,8000,0,204464,1.0
2019-07-18,781,194,467,816,4578,3735,0.4488695487654905
2019-07-19,839,2546,1058,5948,3147,66588,0.9370491475925418
2019-07-20,190,169,1219,850,6917,2900,0.32004899959167005
2019-07-21,212,183,524,422,2358,1293,0.3802083333333333
2019-07-22,117,2388,881,3469,11540,26239,0.7190930680647041
2019-07-23,0,6061,0,3805,0,18387,1.0
2019-07-24,86,804,786,1087,31953,12053,0.29814620795826297
2019-07-25,105,89,293,236,1205,12016,0.8850401606425703
2019-07-26,7369,3533,11071,5572,459343,44095,0.10019153155562419
