date,trans0,trans2,comm0,comm2,zan0,zan2,r
2019-03-14,497,187,610,172,1523,470,0.23966464296039316
2019-03-15,121,1803,108,4266,243,12053,0.9746154673550608
2019-03-16,6779,41,1077,13,31812,132,0.004667034676569479
2019-03-17,0,1240,0,1690,0,2871,1.0
2019-03-18,10,375,10,475,31,653,0.9671814671814671
2019-03-19,0,579,0,723,0,3971,1.0
2019-03-20,513,682,377,516,893,1250,0.578586622547861
2019-03-21,0,313,0,291,0,643,1.0
2019-03-22,89,42,127,26,274,120,0.27728613569321536
2019-03-23,69,95,138,143,353,380,0.5246179966044142
2019-03-24,0,641,0,831,0,723,1.0
2019-03-25,0,82,0,185,0,257,1.0
2019-03-26,0,0,0,0,0,0,0
2019-03-27,0,0,0,0,0,0,0
2019-03-28,152,287,203,344,561,1183,0.6644688644688644
2019-03-29,1605,327,2069,597,4406,722,0.1692370964425252
2019-03-30,379,0,388,0,582,0,0.0
2019-03-31,25,0,35,0,46,0,0.0
2019-04-01,0,168,0,132,0,4533,1.0
2019-04-02,117,163,82,93,113,298,0.6397228637413395
2019-04-03,34,674,33,681,87,3650,0.9701492537313433
2019-04-04,247,1002,1238,1799,2253,2674,0.5942689677629437
2019-04-05,0,26,0,41,0,117,1.0
2019-04-06,130,64,101,32,505,64,0.17857142857142858
2019-04-07,27,106,17,257,52,863,0.9273827534039334
2019-04-08,25,20,17,47,128,138,0.5466666666666666
2019-04-09,445,148,1138,430,4053,782,0.19439679817038308
2019-04-10,39,88,394,204,443,391,0.4381013470173188
2019-04-11,0,61,0,111,0,211,1.0
2019-04-12,0,186,0,433,0,525,1.0
2019-04-13,0,0,0,0,0,0,0
2019-04-14,0,0,0,0,0,0,0
2019-04-15,152,251,164,191,492,877,0.6201222378937471
2019-04-16,216,66,145,66,468,180,0.27344434706397897
2019-04-17,110,0,142,0,414,0,0.0
2019-04-18,119,18,12,14,391,79,0.17535545023696683
2019-04-19,0,29,0,60,0,62,1.0
2019-04-20,0,0,0,0,0,0,0
2019-04-21,0,71,0,193,0,137,1.0
2019-04-22,0,282,0,184,0,611,1.0
2019-04-23,130,0,72,0,257,0,0.0
2019-04-24,0,125,0,208,0,360,1.0
2019-04-25,169,490,96,471,215,1141,0.8140975987606507
2019-04-26,0,142,0,183,0,491,1.0
2019-04-28,50,0,137,0,166,0,0.0
2019-04-29,0,0,0,0,0,0,0
2019-04-30,220,113,48,262,115,330,0.6479779411764706
2019-05-01,32,140,27,126,20,431,0.8981958762886598
2019-05-02,151,0,236,0,144,0,0.0
2019-05-03,0,71,0,6,0,293,1.0
2019-05-04,43,339,65,333,93,186,0.8101983002832861
2019-05-05,302,142,988,404,1264,883,0.3587747928696962
2019-05-06,198,235,89,777,319,873,0.7567242071457246
2019-05-07,0,0,0,0,0,0,0
2019-05-08,377,56,544,173,332,183,0.24744744744744746
2019-05-09,1443,957,1026,994,3944,4362,0.49607103567499605
2019-05-10,556,39,167,26,62,109,0.18143899895724713
2019-05-11,425,0,375,0,727,0,0.0
2019-05-12,26,12,66,14,92,33,0.24279835390946503
2019-05-13,41,0,159,0,105,0,0.0
2019-05-14,0,977,0,545,0,1411,1.0
2019-05-15,0,423,0,618,0,989,1.0
2019-05-16,1078,6467,2586,11104,3394,30624,0.8722603297558503
2019-05-17,12688,117933,13594,60408,72954,473137,0.867811177092741
2019-05-18,1953,7139,1108,7022,5534,44039,0.8713227037951943
2019-05-19,997,3996,970,9705,3130,26548,0.8875975830282715
2019-05-20,6928,6492,10660,19697,38395,49079,0.5734661069248996
2019-05-21,10714,46924,4625,12413,37970,130507,0.7807594395298434
2019-05-22,1640,6545,2485,4291,9245,33344,0.7676802780191138
2019-05-23,512,10993,1275,19481,1558,90433,0.9730789041625084
